Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-509.000	85.000	
0.033	-503.000	92.000	
0.066	-496.000	102.000	
0.100	-486.000	113.000	
0.133	-474.000	126.000	
0.166	-460.000	142.000	
0.200	-437.000	160.000	
0.233	-417.000	183.000	
0.266	-396.000	211.000	
0.300	-371.000	235.000	
0.333	-342.000	264.000	
0.366	-320.000	293.000	
0.400	-280.000	330.000	
0.433	-227.000	350.000	
0.466	-193.000	337.000	
0.500	-173.000	310.000	
0.533	-166.000	285.000	
0.566	-171.000	261.000	
0.600	-185.000	242.000	
0.633	-196.000	231.000	
0.666	-211.000	227.000	
0.700	-229.000	230.000	
0.733	-244.000	233.000	
0.766	-260.000	243.000	
0.800	-274.000	256.000	
0.833	-290.000	280.000	
0.866	-292.000	312.000	
0.900	-276.000	338.000	
0.933	-246.000	353.000	
0.966	-215.000	358.000	
1.000	-182.000	358.000	
1.033	-145.000	359.000	
1.066	-114.000	360.000	
