Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-519.000	73.000	
0.033	-517.000	74.000	
0.067	-512.000	86.000	
0.100	-506.000	95.000	
0.133	-496.000	105.000	
0.167	-484.000	116.000	
0.200	-470.000	129.000	
0.233	-452.000	147.000	
0.267	-433.000	168.000	
0.300	-412.000	194.000	
0.333	-390.000	218.000	
0.367	-364.000	245.000	
0.400	-334.000	276.000	
0.433	-296.000	304.000	
0.467	-261.000	339.000	
0.500	-214.000	346.000	
0.533	-186.000	324.000	
0.567	-170.000	293.000	
0.600	-175.000	264.000	
0.633	-190.000	244.000	
0.667	-201.000	235.000	
0.700	-225.000	227.000	
0.733	-244.000	226.000	
0.767	-257.000	235.000	
0.800	-285.000	244.000	
0.833	-293.000	271.000	
0.867	-294.000	301.000	
0.900	-290.000	324.000	
0.933	-245.000	352.000	
0.967	-209.000	354.000	
1.000	-170.000	356.000	
