Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-512.000	60.000	
0.033	-510.000	67.000	
0.066	-502.000	76.000	
0.100	-493.000	88.000	
0.133	-480.000	104.000	
0.166	-466.000	122.000	
0.200	-447.000	142.000	
0.233	-430.000	163.000	
0.266	-414.000	184.000	
0.300	-384.000	223.000	
0.333	-358.000	257.000	
0.366	-337.000	284.000	
0.400	-292.000	332.000	
0.433	-246.000	345.000	
0.466	-210.000	325.000	
0.500	-195.000	296.000	
0.533	-195.000	269.000	
0.566	-208.000	246.000	
0.600	-223.000	232.000	
0.633	-247.000	229.000	
0.666	-269.000	229.000	
0.700	-289.000	236.000	
0.733	-307.000	258.000	
0.766	-316.000	289.000	
0.800	-304.000	323.000	
0.833	-278.000	346.000	
0.866	-240.000	354.000	
0.900	-202.000	357.000	
0.933	-165.000	363.000	
