Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-496.000	93.000	
0.033	-493.000	101.000	
0.066	-485.000	106.000	
0.100	-474.000	118.000	
0.133	-466.000	132.000	
0.166	-450.000	146.000	
0.200	-432.000	161.000	
0.233	-413.000	176.000	
0.266	-391.000	202.000	
0.300	-366.000	224.000	
0.333	-339.000	254.000	
0.366	-310.000	282.000	
0.400	-279.000	319.000	
0.433	-237.000	344.000	
0.466	-193.000	347.000	
0.500	-167.000	325.000	
0.533	-129.000	310.000	
0.566	-153.000	269.000	
0.600	-160.000	252.000	
0.633	-174.000	238.000	
0.666	-185.000	230.000	
0.700	-200.000	226.000	
0.733	-215.000	232.000	
0.766	-232.000	239.000	
0.800	-243.000	249.000	
0.833	-257.000	268.000	
0.866	-273.000	291.000	
0.900	-271.000	322.000	
0.933	-249.000	342.000	
0.966	-214.000	353.000	
1.000	-184.000	353.000	
