Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-500.000	81.000	
0.033	-494.000	90.000	
0.066	-485.000	99.000	
0.100	-474.000	110.000	
0.133	-460.000	124.000	
0.166	-446.000	140.000	
0.200	-427.000	159.000	
0.233	-409.000	179.000	
0.266	-385.000	208.000	
0.300	-360.000	235.000	
0.333	-330.000	265.000	
0.366	-312.000	289.000	
0.400	-262.000	333.000	
0.433	-219.000	345.000	
0.466	-185.000	328.000	
0.500	-168.000	298.000	
0.533	-166.000	271.000	
0.566	-176.000	251.000	
0.600	-188.000	235.000	
0.633	-207.000	227.000	
0.666	-228.000	227.000	
0.700	-248.000	229.000	
0.733	-267.000	237.000	
0.766	-282.000	258.000	
0.800	-294.000	291.000	
0.833	-285.000	325.000	
0.866	-250.000	346.000	
0.900	-208.000	352.000	
0.933	-178.000	353.000	
0.966	-139.000	356.000	
1.000	-102.000	359.000	
