Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-492.000	103.000	
0.034	-484.000	110.000	
0.067	-476.000	119.000	
0.100	-464.000	130.000	
0.134	-451.000	142.000	
0.167	-433.000	157.000	
0.200	-416.000	176.000	
0.234	-404.000	186.000	
0.267	-371.000	219.000	
0.300	-345.000	242.000	
0.334	-318.000	270.000	
0.367	-287.000	298.000	
0.400	-249.000	332.000	
0.434	-205.000	349.000	
0.467	-171.000	335.000	
0.500	-150.000	308.000	
0.534	-145.000	286.000	
0.567	-145.000	254.000	
0.600	-153.000	250.000	
0.634	-169.000	234.000	
0.667	-178.000	230.000	
0.700	-195.000	232.000	
0.734	-208.000	236.000	
0.767	-220.000	244.000	
0.800	-232.000	258.000	
0.834	-246.000	282.000	
0.867	-259.000	308.000	
0.900	-256.000	334.000	
0.934	-231.000	353.000	
0.967	-210.000	361.000	
1.000	-190.000	365.000	
