Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	189.965	128.586	
0.034	191.965	128.571	
0.067	193.957	127.556	
0.100	193.957	127.556	
0.134	196.950	126.534	
0.167	199.942	125.511	
0.200	201.935	124.497	
0.234	204.920	122.474	
0.267	207.905	120.452	
0.300	211.897	119.422	
0.334	214.875	116.400	
0.367	217.860	114.377	
0.400	223.837	111.333	
0.434	227.815	108.303	
0.467	231.792	105.273	
0.500	235.762	101.243	
0.534	240.725	96.206	
0.567	245.687	91.169	
0.600	249.657	87.139	
0.634	253.612	81.110	
0.667	257.567	75.080	
0.700	263.508	67.035	
0.734	266.463	61.013	
0.767	270.403	52.984	
0.800	273.343	44.961	
0.834	276.276	35.939	
0.867	279.209	26.917	
0.900	281.134	16.903	
0.934	281.059	6.903	
0.967	281.985	-3.104	
1.000	280.910	-13.096	
1.034	280.835	-23.096	
1.067	278.746	-35.081	
1.100	275.664	-46.058	
1.134	271.582	-57.028	
1.167	266.500	-67.990	
1.200	260.418	-78.945	
1.234	253.344	-88.893	
1.267	245.269	-98.833	
1.300	236.195	-108.765	
1.334	224.136	-116.675	
1.367	213.076	-124.593	
1.400	200.024	-131.496	
1.434	185.980	-137.391	
1.467	171.950	-141.287	
1.500	155.928	-144.167	
1.534	139.921	-145.048	
1.567	123.929	-143.928	
1.600	105.945	-141.794	
1.634	90.983	-136.682	
1.667	74.035	-129.556	
1.700	60.110	-119.451	
1.734	45.193	-108.340	
1.767	32.298	-94.243	
1.800	20.402	-80.154	
1.834	11.537	-62.087	
1.867	5.671	-44.043	
1.900	0.821	-24.006	
1.934	-1.029	-3.992	
1.967	1.134	17.992	
2.000	5.283	37.962	
2.034	12.432	57.909	
2.067	24.566	75.819	
2.100	38.700	93.714	
2.134	54.812	108.594	
2.167	72.901	120.459	
2.200	93.975	130.302	
2.234	115.012	135.145	
2.267	138.033	137.974	
2.300	160.018	135.810	
2.334	181.987	131.646	
2.367	203.927	123.482	
2.400	223.837	111.333	
2.434	241.717	95.199	
2.467	256.590	78.087	
2.500	267.440	58.006	
2.534	276.276	35.939	
2.567	281.097	11.903	
2.600	280.918	-12.096	
2.634	278.739	-36.081	
2.667	270.560	-60.020	
2.700	258.396	-81.930	
2.734	242.254	-100.810	
2.767	222.121	-118.660	
2.800	200.017	-132.496	
2.834	173.958	-140.302	
2.867	146.929	-144.100	
2.900	118.930	-143.891	
2.934	90.983	-136.682	
2.967	64.080	-123.481	
3.000	41.223	-104.310	
3.034	22.402	-80.169	
3.067	8.604	-53.065	
3.100	0.836	-22.006	
3.134	0.075	10.000	
3.167	4.276	36.969	
3.200	17.492	65.871	
3.234	36.686	91.729	
3.267	60.842	112.549	
3.300	89.960	128.332	
3.334	121.019	136.101	
3.367	156.026	136.839	
3.400	185.980	130.616	
3.434	213.882	117.407	
3.467	238.732	97.221	
3.500	257.553	73.080	
3.534	273.351	45.961	
3.567	281.127	15.903	
3.600	280.895	-15.096	
3.634	274.664	-46.050	
3.667	261.448	-74.953	
3.700	242.254	-100.810	
3.734	216.091	-122.615	
3.767	185.980	-137.391	
3.800	151.929	-144.137	
3.834	115.937	-142.869	
3.867	81.013	-132.608	
3.900	50.163	-112.377	
3.934	24.372	-84.184	
3.967	6.634	-49.050	
4.000	-0.074	-9.999	
4.034	3.224	29.977	
4.067	18.507	67.864	
4.100	42.738	98.684	
4.134	74.908	121.444	
4.167	113.012	135.160	
4.200	152.033	137.869	
4.234	187.972	129.601	
4.267	221.845	112.348	
4.300	249.657	87.139	
4.334	269.418	54.991	
4.367	280.156	19.910	
4.400	280.880	-17.096	
4.434	272.612	-53.035	
4.467	254.359	-86.900	
4.500	228.150	-114.705	
4.534	193.002	-134.444	
4.567	153.929	-144.152	
4.600	111.945	-141.839	
4.634	72.058	-126.541	
4.667	36.260	-99.273	
4.700	11.544	-61.087	
4.734	-1.111	-14.992	
4.767	4.239	31.969	
4.800	22.567	75.834	
4.834	54.812	108.594	
4.867	95.982	131.287	
4.900	140.033	137.959	
4.934	183.987	131.631	
4.967	222.837	111.340	
5.000	253.620	82.110	
5.034	273.343	44.961	
5.067	281.037	3.903	
5.100	276.716	-39.066	
5.134	260.426	-77.945	
5.167	232.180	-110.735	
5.200	193.002	-134.444	
5.234	147.929	-144.107	
5.267	100.967	-138.757	
5.300	56.133	-116.422	
5.334	21.402	-80.161	
5.367	1.754	-33.014	
5.400	0.134	17.999	
5.434	16.485	64.879	
5.467	46.760	101.654	
5.500	85.953	127.362	
5.534	130.034	138.033	
5.567	172.010	134.720	
5.600	209.897	119.437	
5.634	241.717	95.199	
5.667	264.478	63.028	
5.700	278.216	27.925	
5.734	280.940	-9.096	
5.767	274.664	-46.050	
5.800	259.411	-79.938	
5.834	235.195	-108.758	
5.867	205.047	-128.533	
5.900	168.943	-142.264	
5.934	131.929	-143.988	
5.967	94.982	-136.712	
6.000	61.103	-120.459	
6.034	33.298	-94.251	
6.067	11.530	-63.087	
6.100	1.798	-27.014	
6.134	0.075	10.000	
6.167	8.336	44.939	
6.200	24.574	76.819	
