Time(ms)	원점 X(cm)	원점 Y(cm)	좌표 X(cm)	좌표 Y(cm)	각(rad)	각속도(rad/s)	
0.000000	138.989000	-2.037000	189.965000	128.586000	0.000000	0.000000	
0.034000	138.989000	-2.037000	191.965000	128.571000	0.013258	389.948765	
0.067000	138.989000	-2.037000	193.957000	127.556000	0.015824	479.516923	
0.100000	138.989000	-2.037000	193.957000	127.556000	0.000000	0.000000	
0.134000	138.989000	-2.037000	196.950000	126.534000	0.022369	657.907858	
0.167000	138.989000	-2.037000	199.942000	125.511000	0.022271	674.882489	
0.200000	138.989000	-2.037000	201.935000	124.497000	0.015818	479.339803	
0.234000	138.989000	-2.037000	204.920000	122.474000	0.025367	746.097246	
0.267000	138.989000	-2.037000	207.905000	120.452000	0.025505	772.876737	
0.300000	138.989000	-2.037000	211.897000	119.422000	0.028129	852.379920	
0.334000	138.989000	-2.037000	214.875000	116.400000	0.029213	859.212720	
0.367000	138.989000	-2.037000	217.860000	114.377000	0.025638	776.912694	
0.400000	138.989000	-2.037000	223.837000	111.333000	0.047019	1424.813198	
0.434000	138.989000	-2.037000	227.815000	108.303000	0.035308	1038.468362	
0.467000	138.989000	-2.037000	231.792000	105.273000	0.035236	1067.750751	
0.500000	138.989000	-2.037000	235.762000	101.243000	0.039853	1207.652361	
0.534000	138.989000	-2.037000	240.725000	96.206000	0.049980	1469.999271	
0.567000	138.989000	-2.037000	245.687000	91.169000	0.049925	1512.882925	
0.600000	138.989000	-2.037000	249.657000	87.139000	0.039742	1204.301119	
0.634000	138.989000	-2.037000	253.612000	81.110000	0.050699	1491.138186	
0.667000	138.989000	-2.037000	257.567000	75.080000	0.050947	1543.857745	
0.700000	138.989000	-2.037000	263.508000	67.035000	0.070167	2126.287433	
0.734000	138.989000	-2.037000	266.463000	61.013000	0.047126	1386.049668	
0.767000	138.989000	-2.037000	270.403000	52.984000	0.062818	1903.565490	
0.800000	138.989000	-2.037000	273.343000	44.961000	0.060006	1818.367283	
0.834000	138.989000	-2.037000	276.276000	35.939000	0.066634	1959.812283	
0.867000	138.989000	-2.037000	279.209000	26.917000	0.066242	2007.320001	
0.900000	138.989000	-2.037000	281.134000	16.903000	0.071164	2156.482361	
0.934000	138.989000	-2.037000	281.059000	6.903000	0.069620	2047.650364	
0.967000	138.989000	-2.037000	281.985000	-3.104000	0.070305	2130.468886	
1.000000	138.989000	-2.037000	280.910000	-13.096000	0.070305	2130.450823	
1.034000	138.989000	-2.037000	280.835000	-23.096000	0.069621	2047.669251	
1.067000	138.989000	-2.037000	278.746000	-35.081000	0.084788	2569.331407	
1.100000	138.989000	-2.037000	275.664000	-46.058000	0.079418	2406.611084	
1.134000	138.989000	-2.037000	271.582000	-57.028000	0.081551	2398.558915	
1.167000	138.989000	-2.037000	266.500000	-67.990000	0.084195	2551.365541	
1.200000	138.989000	-2.037000	260.418000	-78.945000	0.087247	2643.861273	
1.234000	138.989000	-2.037000	253.344000	-88.893000	0.084985	2499.568699	
1.267000	138.989000	-2.037000	245.269000	-98.833000	0.089158	2701.762977	
1.300000	138.989000	-2.037000	236.195000	-108.765000	0.093326	2828.045728	
1.334000	138.989000	-2.037000	224.136000	-116.675000	0.099898	2938.165874	
1.367000	138.989000	-2.037000	213.076000	-124.593000	0.095110	2882.113201	
1.400000	138.989000	-2.037000	200.024000	-131.496000	0.103175	3126.527319	
1.434000	138.989000	-2.037000	185.980000	-137.391000	0.106405	3129.566335	
1.467000	138.989000	-2.037000	171.950000	-141.287000	0.101726	3082.620929	
1.500000	138.989000	-2.037000	155.928000	-144.167000	0.113806	3448.661594	
1.534000	138.989000	-2.037000	139.921000	-145.048000	0.112103	3297.153787	
1.567000	138.989000	-2.037000	123.929000	-143.928000	0.112259	3401.782291	
1.600000	138.989000	-2.037000	105.945000	-141.794000	0.126433	3831.310612	
1.634000	138.989000	-2.037000	90.983000	-136.682000	0.110312	3244.465813	
1.667000	138.989000	-2.037000	74.035000	-129.556000	0.128626	3897.765681	
1.700000	138.989000	-2.037000	60.110000	-119.451000	0.120436	3649.586835	
1.734000	138.989000	-2.037000	45.193000	-108.340000	0.131426	3865.460624	
1.767000	138.989000	-2.037000	32.298000	-94.243000	0.135121	4094.580336	
1.800000	138.989000	-2.037000	20.402000	-80.154000	0.130211	3945.785858	
1.834000	138.989000	-2.037000	11.537000	-62.087000	0.142180	4181.769929	
1.867000	138.989000	-2.037000	5.671000	-44.043000	0.135074	4093.152478	
1.900000	138.989000	-2.037000	0.821000	-24.006000	0.147553	4471.291515	
1.934000	138.989000	-2.037000	-1.029000	-3.992000	0.143721	4227.074149	
1.967000	138.989000	-2.037000	1.134000	17.992000	0.158242	4795.222905	
2.000000	138.989000	-2.037000	5.283000	37.962000	0.146402	4436.419964	
2.034000	138.989000	-2.037000	12.432000	57.909000	0.151678	4461.127787	
2.067000	138.989000	-2.037000	24.566000	75.819000	0.155105	4700.140337	
2.100000	138.989000	-2.037000	38.700000	93.714000	0.164788	4993.586436	
2.134000	138.989000	-2.037000	54.812000	108.594000	0.158114	4650.407642	
2.167000	138.989000	-2.037000	72.901000	120.459000	0.155674	4717.379958	
2.200000	138.989000	-2.037000	93.975000	130.302000	0.166890	5057.258630	
2.234000	138.989000	-2.037000	115.012000	135.145000	0.154831	4553.850106	
2.267000	138.989000	-2.037000	138.033000	137.974000	0.166207	5036.563681	
2.300000	138.989000	-2.037000	160.018000	135.810000	0.158214	4794.362020	
2.334000	138.989000	-2.037000	181.987000	131.646000	0.159805	4700.154001	
2.367000	138.989000	-2.037000	203.927000	123.482000	0.166245	5037.712220	
2.400000	138.989000	-2.037000	223.837000	111.333000	0.165051	5001.553397	
2.434000	138.989000	-2.037000	241.717000	95.199000	0.170369	5010.858387	
2.467000	138.989000	-2.037000	256.590000	78.087000	0.159861	4844.269364	
