Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	274.336	43.954	
0.034	274.321	41.954	
0.067	274.306	39.954	
0.100	276.291	37.939	
0.134	276.276	35.939	
0.167	276.246	31.939	
0.200	278.216	27.925	
0.234	278.186	23.925	
0.267	280.141	17.910	
0.300	280.112	13.910	
0.334	282.059	6.895	
0.367	282.007	-0.104	
0.400	281.962	-6.104	
0.434	281.903	-14.104	
0.467	279.843	-22.088	
0.500	279.783	-30.088	
0.534	277.709	-40.073	
0.567	273.634	-50.043	
0.600	269.575	-58.013	
0.634	265.500	-67.983	
0.667	260.426	-77.945	
0.700	253.351	-87.893	
0.734	245.277	-97.833	
0.767	236.210	-106.765	
0.800	226.143	-115.690	
0.834	214.084	-123.601	
0.867	202.032	-130.511	
0.900	187.980	-137.406	
0.934	171.950	-141.287	
0.967	155.936	-143.167	
1.000	138.922	-145.040	
1.034	120.937	-142.906	
1.067	102.960	-139.772	
1.100	85.005	-133.638	
1.134	67.073	-124.503	
1.167	51.163	-112.384	
1.200	35.268	-98.265	
1.234	22.395	-81.169	
1.267	11.544	-61.087	
1.300	3.709	-39.028	
1.334	-0.111	-14.999	
1.367	0.067	9.000	
1.400	3.246	32.977	
1.434	12.425	56.909	
1.467	26.589	78.804	
1.500	43.745	99.676	
1.534	64.864	115.519	
1.567	87.960	128.347	
1.600	115.019	136.145	
1.634	142.033	137.944	
1.667	170.010	134.735	
1.700	195.950	126.541	
1.734	220.852	113.355	
1.767	242.710	94.191	
1.800	259.545	72.065	
1.834	272.351	45.969	
1.867	280.141	17.910	
1.900	281.918	-12.104	
1.934	275.701	-41.058	
1.967	264.485	-69.975	
2.000	247.292	-95.848	
2.034	224.136	-116.675	
2.067	195.009	-133.458	
2.100	162.936	-143.219	
2.134	127.929	-143.958	
2.167	92.975	-137.697	
2.200	60.110	-119.451	
2.234	32.298	-94.243	
2.267	11.544	-61.087	
2.300	0.836	-22.006	
2.334	1.134	17.992	
2.367	12.425	56.909	
2.400	35.686	91.736	
2.434	67.879	117.497	
2.467	105.997	133.213	
2.500	147.033	137.907	
2.534	185.980	130.616	
2.567	220.845	112.355	
2.600	249.650	86.139	
2.634	269.388	50.991	
2.667	280.112	13.910	
2.700	279.821	-25.088	
2.734	267.522	-64.998	
2.767	244.277	-97.825	
2.800	212.076	-124.586	
2.834	171.950	-141.287	
2.867	125.929	-143.943	
2.900	80.020	-131.600	
2.934	41.230	-103.310	
2.967	11.544	-61.087	
3.000	-0.074	-9.999	
3.034	6.321	42.954	
3.067	32.663	88.759	
3.100	74.901	120.444	
3.134	123.026	137.086	
3.167	173.010	134.713	
3.200	217.867	115.377	
3.234	252.620	82.117	
3.267	275.306	39.947	
3.300	280.955	-7.096	
3.334	272.604	-54.035	
3.367	247.292	-95.848	
3.400	208.054	-127.556	
3.434	158.936	-143.190	
3.467	102.960	-139.772	
3.500	52.155	-113.392	
3.534	14.507	-66.110	
3.567	-0.044	-5.999	
3.600	12.425	56.909	
3.634	51.790	105.616	
3.667	104.997	133.220	
3.700	163.018	135.787	
3.734	215.867	115.392	
3.767	254.597	79.102	
3.800	277.231	29.932	
3.834	279.828	-24.088	
3.867	262.448	-74.960	
3.900	225.143	-115.683	
3.934	171.958	-140.287	
3.967	109.945	-141.824	
4.000	52.155	-113.392	
4.034	11.559	-59.087	
4.067	0.060	8.000	
4.100	20.522	69.849	
4.134	64.864	115.519	
4.167	121.019	136.101	
4.200	176.995	132.683	
4.234	224.830	110.325	
4.267	259.538	71.065	
4.300	278.201	25.925	
4.334	279.835	-23.088	
4.367	266.493	-68.990	
4.400	236.202	-107.765	
4.434	195.009	-133.458	
4.467	146.921	-145.100	
4.500	95.967	-138.720	
4.534	51.155	-113.384	
4.567	18.455	-73.139	
4.600	0.821	-24.006	
4.634	3.201	26.977	
4.667	22.544	72.834	
4.700	54.812	108.594	
4.734	96.982	131.280	
4.767	141.033	137.951	
4.800	181.987	131.646	
4.834	218.860	114.370	
4.867	247.672	89.154	
4.900	268.425	55.998	
4.934	280.156	19.910	
4.967	280.873	-18.096	
5.000	272.612	-53.035	
5.034	256.373	-84.915	
5.067	232.173	-111.735	
5.100	201.032	-130.503	
5.134	166.943	-142.249	
5.167	130.929	-143.981	
5.200	96.975	-137.727	
5.234	64.088	-122.481	
5.267	36.260	-99.273	
5.300	15.477	-70.117	
5.334	3.716	-38.028	
