Time(ms)	원점 X(cm)	원점 Y(cm)	좌표 X(cm)	좌표 Y(cm)	각(rad)	각속도(rad/s)	
0.000000	140.966000	-5.052000	274.336000	43.954000	0.000000	0.000000	
0.034000	140.966000	-5.052000	274.321000	41.954000	0.013240	389.425311	
0.067000	140.966000	-5.052000	274.306000	39.954000	0.013368	405.097805	
0.100000	140.966000	-5.052000	276.291000	37.939000	0.017918	542.959671	
0.134000	140.966000	-5.052000	276.276000	35.939000	0.013450	395.597119	
0.167000	140.966000	-5.052000	276.246000	31.939000	0.027238	825.380751	
0.200000	140.966000	-5.052000	278.216000	27.925000	0.031116	942.900084	
0.234000	140.966000	-5.052000	278.186000	23.925000	0.027686	814.282039	
0.267000	140.966000	-5.052000	280.141000	17.910000	0.044601	1351.538518	
0.300000	140.966000	-5.052000	280.112000	13.910000	0.028074	850.717082	
0.334000	140.966000	-5.052000	282.059000	6.895000	0.050967	1499.020388	
0.367000	140.966000	-5.052000	282.007000	-0.104000	0.049406	1497.137303	
0.400000	140.966000	-5.052000	281.962000	-6.104000	0.042529	1288.747934	
0.434000	140.966000	-5.052000	281.903000	-14.104000	0.056678	1667.003385	
0.467000	140.966000	-5.052000	279.843000	-22.088000	0.057921	1755.173042	
0.500000	140.966000	-5.052000	279.783000	-30.088000	0.056375	1708.318544	
0.534000	140.966000	-5.052000	277.709000	-40.073000	0.072285	2126.023982	
0.567000	140.966000	-5.052000	273.634000	-50.043000	0.076235	2310.136591	
0.600000	140.966000	-5.052000	269.575000	-58.013000	0.063682	1929.765349	
0.634000	140.966000	-5.052000	265.500000	-67.983000	0.077268	2272.588948	
0.667000	140.966000	-5.052000	260.426000	-77.945000	0.079973	2423.413776	
0.700000	140.966000	-5.052000	253.351000	-87.893000	0.087329	2646.328014	
0.734000	140.966000	-5.052000	245.277000	-97.833000	0.091759	2698.784637	
0.767000	140.966000	-5.052000	236.210000	-106.765000	0.091267	2765.664516	
0.800000	140.966000	-5.052000	226.143000	-115.690000	0.096467	2923.255620	
0.834000	140.966000	-5.052000	214.084000	-123.601000	0.103435	3042.215550	
0.867000	140.966000	-5.052000	202.032000	-130.511000	0.099678	3020.559541	
0.900000	140.966000	-5.052000	187.980000	-137.406000	0.111672	3383.991734	
0.934000	140.966000	-5.052000	171.950000	-141.287000	0.117686	3461.341685	
0.967000	140.966000	-5.052000	155.936000	-143.167000	0.115660	3504.854574	
1.000000	140.966000	-5.052000	138.922000	-145.040000	0.122567	3714.141617	
1.034000	140.966000	-5.052000	120.937000	-142.906000	0.129682	3814.164432	
1.067000	140.966000	-5.052000	102.960000	-139.772000	0.130683	3960.102879	
1.100000	140.966000	-5.052000	85.005000	-133.638000	0.135516	4106.532066	
1.134000	140.966000	-5.052000	67.073000	-124.503000	0.143507	4220.787316	
1.167000	140.966000	-5.052000	51.163000	-112.384000	0.142725	4325.003538	
1.200000	140.966000	-5.052000	35.268000	-98.265000	0.151370	4586.971291	
1.234000	140.966000	-5.052000	22.395000	-81.169000	0.152016	4471.065392	
1.267000	140.966000	-5.052000	11.544000	-61.087000	0.162101	4912.151513	
1.300000	140.966000	-5.052000	3.709000	-39.028000	0.165938	5028.438759	
1.334000	140.966000	-5.052000	-0.111000	-14.999000	0.172267	5066.671315	
1.367000	140.966000	-5.052000	0.067000	9.000000	0.169793	5145.255316	
1.400000	140.966000	-5.052000	3.246000	32.977000	0.170017	5152.020513	
1.434000	140.966000	-5.052000	12.425000	56.909000	0.179752	5286.822046	
1.467000	140.966000	-5.052000	26.589000	78.804000	0.183462	5559.439818	
1.500000	140.966000	-5.052000	43.745000	99.676000	0.189921	5755.192275	
1.534000	140.966000	-5.052000	64.864000	115.519000	0.185212	5447.397648	
1.567000	140.966000	-5.052000	87.960000	128.347000	0.184812	5600.357289	
1.600000	140.966000	-5.052000	115.019000	136.145000	0.196482	5954.008908	
1.634000	140.966000	-5.052000	142.033000	137.944000	0.189199	5564.662464	
1.667000	140.966000	-5.052000	170.010000	134.735000	0.197397	5981.725453	
1.700000	140.966000	-5.052000	195.950000	126.541000	0.190927	5785.655100	
1.734000	140.966000	-5.052000	220.852000	113.355000	0.197740	5815.876048	
1.767000	140.966000	-5.052000	242.710000	94.191000	0.204316	6191.398773	
1.800000	140.966000	-5.052000	259.545000	72.065000	0.196339	5949.667911	
1.834000	140.966000	-5.052000	272.351000	45.969000	0.206209	6064.961957	
1.867000	140.966000	-5.052000	280.141000	17.910000	0.206894	6269.514046	
1.900000	140.966000	-5.052000	281.918000	-12.104000	0.213503	6469.789022	
1.934000	140.966000	-5.052000	275.701000	-41.058000	0.211144	6210.118335	
1.967000	140.966000	-5.052000	264.485000	-69.975000	0.222793	6751.292506	
2.000000	140.966000	-5.052000	247.292000	-95.848000	0.222851	6753.050046	
2.034000	140.966000	-5.052000	224.136000	-116.675000	0.223663	6578.336818	
2.067000	140.966000	-5.052000	195.009000	-133.458000	0.241984	7332.837400	
2.100000	140.966000	-5.052000	162.936000	-143.219000	0.240682	7293.396761	
2.134000	140.966000	-5.052000	127.929000	-143.958000	0.251271	7390.323229	
2.167000	140.966000	-5.052000	92.975000	-137.697000	0.253568	7683.869885	
2.200000	140.966000	-5.052000	60.110000	-119.451000	0.268120	8124.838672	
2.234000	140.966000	-5.052000	32.298000	-94.243000	0.268253	7889.786373	
2.267000	140.966000	-5.052000	11.544000	-61.087000	0.278679	8444.821101	
2.300000	140.966000	-5.052000	0.836000	-22.006000	0.288194	8733.150351	
2.334000	140.966000	-5.052000	1.134000	17.992000	0.283732	8345.063995	
