Time(ms)	원점 X(cm)	원점 Y(cm)	좌표 X(cm)	좌표 Y(cm)	각(rad)	각속도(rad/s)	
0.000000	138.019000	1.970000	196.039000	-129.466000	0.000000	0.000000	
0.034000	138.019000	1.970000	193.032000	-130.444000	0.021941	645.332350	
0.067000	138.019000	1.970000	189.025000	-131.414000	0.028522	864.305471	
0.100000	138.019000	1.970000	187.010000	-133.399000	0.017999	545.436301	
0.134000	138.019000	1.970000	183.002000	-134.369000	0.028554	839.821934	
0.167000	138.019000	1.970000	178.995000	-135.339000	0.028681	869.109286	
0.200000	138.019000	1.970000	172.980000	-137.294000	0.044050	1334.846033	
0.234000	138.019000	1.970000	168.973000	-138.264000	0.028711	844.436844	
0.267000	138.019000	1.970000	162.966000	-139.220000	0.042362	1283.684287	
0.300000	138.019000	1.970000	156.958000	-140.175000	0.042429	1285.723203	
0.334000	138.019000	1.970000	150.951000	-141.130000	0.042332	1245.044355	
0.367000	138.019000	1.970000	144.951000	-141.085000	0.041707	1263.834626	
0.400000	138.019000	1.970000	137.951000	-141.033000	0.048895	1481.652373	
0.434000	138.019000	1.970000	130.952000	-140.981000	0.048921	1438.846792	
0.467000	138.019000	1.970000	122.967000	-138.921000	0.057034	1728.314021	
0.500000	138.019000	1.970000	114.967000	-138.861000	0.055816	1691.396085	
0.534000	138.019000	1.970000	106.982000	-136.802000	0.057787	1699.611483	
0.567000	138.019000	1.970000	98.997000	-134.742000	0.058005	1757.735370	
0.600000	138.019000	1.970000	91.012000	-132.682000	0.057834	1752.543299	
0.634000	138.019000	1.970000	83.042000	-128.623000	0.062588	1840.816381	
0.667000	138.019000	1.970000	74.073000	-124.556000	0.069496	2105.947740	
0.700000	138.019000	1.970000	65.103000	-120.489000	0.069097	2093.851668	
0.734000	138.019000	1.970000	57.155000	-113.429000	0.074165	2181.309780	
0.767000	138.019000	1.970000	48.200000	-107.362000	0.076511	2318.502811	
0.800000	138.019000	1.970000	40.253000	-100.303000	0.075142	2277.041818	
0.834000	138.019000	1.970000	33.313000	-92.251000	0.075186	2211.348365	
0.867000	138.019000	1.970000	25.380000	-83.191000	0.085376	2587.140359	
0.900000	138.019000	1.970000	18.455000	-73.139000	0.086473	2620.393269	
0.934000	138.019000	1.970000	13.544000	-61.102000	0.091894	2702.763670	
0.967000	138.019000	1.970000	7.619000	-51.058000	0.082765	2508.031955	
1.000000	138.019000	1.970000	3.716000	-38.028000	0.096777	2932.627450	
1.034000	138.019000	1.970000	1.813000	-25.014000	0.093876	2761.046054	
1.067000	138.019000	1.970000	-0.082000	-10.999000	0.101944	3089.221051	
1.100000	138.019000	1.970000	-1.977000	3.015000	0.101099	3063.614523	
1.134000	138.019000	1.970000	-0.873000	17.007000	0.100380	2952.340414	
1.167000	138.019000	1.970000	2.231000	30.984000	0.102662	3110.966533	
1.200000	138.019000	1.970000	6.336000	44.954000	0.105010	3182.124700	
1.234000	138.019000	1.970000	11.440000	58.916000	0.107242	3154.187826	
1.267000	138.019000	1.970000	18.544000	72.864000	0.112779	3417.540467	
1.300000	138.019000	1.970000	26.634000	84.804000	0.103902	3148.553051	
1.334000	138.019000	1.970000	36.730000	97.729000	0.117902	3467.702424	
1.367000	138.019000	1.970000	48.812000	108.639000	0.116970	3544.547100	
1.400000	138.019000	1.970000	61.886000	118.541000	0.117931	3573.657288	
1.434000	138.019000	1.970000	75.946000	126.437000	0.115939	3409.964824	
1.467000	138.019000	1.970000	90.997000	133.325000	0.118852	3601.588336	
1.500000	138.019000	1.970000	107.034000	138.205000	0.120129	3640.285564	
1.534000	138.019000	1.970000	124.056000	141.078000	0.123593	3635.102006	
1.567000	138.019000	1.970000	142.056000	140.944000	0.129081	3911.533451	
1.600000	138.019000	1.970000	160.055000	140.810000	0.128362	3889.749091	
1.634000	138.019000	1.970000	178.025000	136.675000	0.131291	3861.489194	
1.667000	138.019000	1.970000	193.980000	130.556000	0.121788	3690.544630	
1.700000	138.019000	1.970000	209.920000	122.437000	0.127621	3867.303205	
1.734000	138.019000	1.970000	225.844000	112.318000	0.134129	3944.963957	
1.767000	138.019000	1.970000	239.755000	100.214000	0.130628	3958.412028	
1.800000	138.019000	1.970000	252.650000	86.117000	0.134711	4082.166325	
1.834000	138.019000	1.970000	262.530000	70.043000	0.132903	3908.913930	
1.867000	138.019000	1.970000	270.403000	52.984000	0.132511	4015.489445	
1.900000	138.019000	1.970000	276.268000	34.939000	0.133709	4051.801877	
1.934000	138.019000	1.970000	280.127000	15.910000	0.136321	4009.454197	
1.967000	138.019000	1.970000	280.977000	-4.096000	0.140188	4248.126590	
2.000000	138.019000	1.970000	278.828000	-24.081000	0.140534	4258.616028	
2.034000	138.019000	1.970000	273.686000	-43.043000	0.137420	4041.773070	
2.067000	138.019000	1.970000	265.537000	-62.983000	0.150749	4568.151794	
2.100000	138.019000	1.970000	255.403000	-80.908000	0.143659	4353.305369	
2.134000	138.019000	1.970000	241.284000	-96.803000	0.148399	4364.678836	
2.167000	138.019000	1.970000	224.173000	-111.675000	0.158964	4817.105773	
2.200000	138.019000	1.970000	206.084000	-123.541000	0.151749	4598.448340	
2.234000	138.019000	1.970000	186.010000	-133.391000	0.156200	4594.126590	
2.267000	138.019000	1.970000	162.966000	-139.220000	0.165828	5025.103701	
2.300000	138.019000	1.970000	139.951000	-141.048000	0.161378	4890.241296	
2.334000	138.019000	1.970000	115.967000	-138.869000	0.168823	4965.378644	
2.367000	138.019000	1.970000	92.012000	-132.690000	0.173905	5269.836780	
2.400000	138.019000	1.970000	70.088000	-122.526000	0.170276	5159.888658	
2.434000	138.019000	1.970000	49.200000	-107.370000	0.182712	5373.879318	
2.467000	138.019000	1.970000	31.327000	-90.236000	0.175893	5330.101638	
2.500000	138.019000	1.970000	16.492000	-68.124000	0.189526	5743.223642	
2.534000	138.019000	1.970000	5.679000	-43.043000	0.195312	5744.485070	
2.567000	138.019000	1.970000	-0.126000	-16.999000	0.191397	5799.923376	
2.600000	138.019000	1.970000	-0.925000	10.007000	0.194238	5885.998512	
2.634000	138.019000	1.970000	3.276000	36.977000	0.196407	5776.676237	
2.667000	138.019000	1.970000	13.477000	63.901000	0.207275	6281.065633	
2.700000	138.019000	1.970000	28.656000	87.789000	0.203891	6178.517203	
2.734000	138.019000	1.970000	47.805000	107.646000	0.198815	5847.488649	
2.767000	138.019000	1.970000	70.931000	124.474000	0.205600	6230.317748	
2.800000	138.019000	1.970000	97.012000	135.280000	0.202609	6139.652960	
2.834000	138.019000	1.970000	125.056000	141.071000	0.205497	6044.043833	
2.867000	138.019000	1.970000	153.055000	140.862000	0.200760	6083.627775	
2.900000	138.019000	1.970000	181.010000	134.653000	0.205502	6227.333315	
2.934000	138.019000	1.970000	206.935000	124.459000	0.199149	5857.337575	
2.967000	138.019000	1.970000	230.822000	109.281000	0.200538	6076.903416	
3.000000	138.019000	1.970000	249.672000	89.139000	0.194900	5906.075600	
3.034000	138.019000	1.970000	265.493000	65.021000	0.203537	5986.369634	
3.067000	138.019000	1.970000	276.298000	38.939000	0.198092	6002.792994	
3.100000	138.019000	1.970000	281.082000	9.903000	0.205847	6237.776440	
3.134000	138.019000	1.970000	279.865000	-19.089000	0.202782	5964.164878	
3.167000	138.019000	1.970000	271.657000	-47.028000	0.204040	6183.042535	
3.200000	138.019000	1.970000	260.448000	-74.945000	0.209499	6348.465689	
3.234000	138.019000	1.970000	241.277000	-97.803000	0.207308	6097.293254	
3.267000	138.019000	1.970000	217.128000	-117.623000	0.218154	6610.742148	
3.300000	138.019000	1.970000	189.025000	-131.414000	0.219165	6641.352117	
3.334000	138.019000	1.970000	158.966000	-139.190000	0.217925	6409.569823	
3.367000	138.019000	1.970000	124.959000	-139.936000	0.239091	7245.184434	
3.400000	138.019000	1.970000	93.012000	-132.697000	0.230765	6992.870674	
3.434000	138.019000	1.970000	62.125000	-117.466000	0.243530	7162.650454	
3.467000	138.019000	1.970000	35.298000	-94.266000	0.251913	7633.713210	
3.500000	138.019000	1.970000	14.515000	-65.110000	0.255253	7734.949026	
3.534000	138.019000	1.970000	1.769000	-31.014000	0.260046	7648.425629	
3.567000	138.019000	1.970000	-0.955000	6.007000	0.266555	8077.435147	
3.600000	138.019000	1.970000	5.328000	43.961000	0.277445	8407.434736	
3.634000	138.019000	1.970000	20.574000	76.849000	0.261099	7679.386551	
3.667000	138.019000	1.970000	45.790000	105.661000	0.276250	8371.215261	
3.700000	138.019000	1.970000	75.946000	126.437000	0.264346	8010.479496	
3.734000	138.019000	1.970000	111.042000	139.175000	0.268474	7896.286904	
3.767000	138.019000	1.970000	148.063000	141.899000	0.265798	8054.487500	
3.800000	138.019000	1.970000	183.010000	134.638000	0.255297	7736.283711	
3.834000	138.019000	1.970000	214.904000	120.400000	0.248860	7319.421994	
3.867000	138.019000	1.970000	241.732000	97.199000	0.252204	7642.541215	
3.900000	138.019000	1.970000	263.523000	69.035000	0.252018	7636.905105	
3.934000	138.019000	1.970000	276.276000	35.939000	0.249838	7348.178747	
3.967000	138.019000	1.970000	281.022000	1.903000	0.241391	7314.877824	
4.000000	138.019000	1.970000	276.761000	-33.066000	0.246886	7481.405822	
4.034000	138.019000	1.970000	263.500000	-67.968000	0.261121	7680.025119	
4.067000	138.019000	1.970000	242.284000	-96.810000	0.249915	7573.189321	
4.100000	138.019000	1.970000	213.113000	-119.593000	0.259046	7849.868589	
4.134000	138.019000	1.970000	177.995000	-135.332000	0.270038	7942.301631	
4.167000	138.019000	1.970000	138.959000	-140.040000	0.276702	8384.916274	
4.200000	138.019000	1.970000	99.997000	-134.749000	0.277868	8420.246971	
4.234000	138.019000	1.970000	62.125000	-117.466000	0.294820	8671.178818	
4.267000	138.019000	1.970000	30.335000	-89.228000	0.302033	9152.526663	
4.300000	138.019000	1.970000	8.619000	-51.065000	0.313722	9506.737853	
