Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	238.769	102.221	
0.033	239.755	100.214	
0.067	240.740	98.206	
0.100	242.725	96.191	
0.133	245.710	94.169	
0.167	247.695	92.154	
0.200	250.665	88.132	
0.233	252.642	85.117	
0.267	255.620	82.095	
0.300	258.590	78.072	
0.333	260.552	73.058	
0.367	264.515	68.028	
0.400	266.470	62.013	
0.433	269.433	56.991	
0.467	272.380	49.969	
0.500	274.328	42.954	
0.533	276.276	35.939	
0.567	278.216	27.925	
0.600	280.141	17.910	
0.633	280.082	9.910	
0.667	281.007	-0.097	
0.700	280.932	-10.096	
0.733	279.858	-20.088	
0.767	277.783	-30.073	
0.800	274.701	-41.051	
0.833	270.619	-52.020	
0.867	265.545	-61.983	
0.900	259.463	-72.938	
0.933	253.381	-83.893	
0.967	245.307	-93.833	
1.000	235.240	-102.758	
1.033	223.158	-113.668	
1.067	211.099	-121.578	
1.100	199.047	-128.488	
1.133	185.010	-133.384	
1.167	168.980	-137.264	
1.200	152.958	-140.145	
1.233	136.951	-141.025	
1.267	119.967	-138.899	
1.300	102.990	-135.772	
1.333	85.027	-130.638	
1.367	69.088	-122.518	
1.400	53.170	-111.399	
1.433	39.268	-98.295	
1.467	25.380	-83.191	
1.500	15.514	-65.117	
1.533	5.657	-46.043	
1.567	1.813	-25.014	
1.600	-1.029	-3.992	
1.633	0.142	18.999	
1.667	4.298	39.969	
1.700	12.462	61.909	
1.733	24.611	81.819	
1.767	38.745	99.714	
1.800	57.864	115.571	
1.833	77.953	127.422	
1.867	101.020	136.250	
1.900	125.056	141.071	
1.933	149.056	140.892	
1.967	175.032	137.698	
2.000	196.972	129.534	
2.033	218.889	118.370	
2.067	238.769	102.221	
2.100	254.627	83.102	
2.133	266.463	61.013	
2.167	276.291	37.939	
2.200	281.097	11.903	
2.233	279.895	-15.089	
2.267	274.709	-40.051	
2.300	264.522	-64.975	
2.333	249.351	-87.863	
2.367	231.203	-107.728	
2.400	207.084	-123.548	
2.433	181.002	-134.354	
2.467	150.958	-140.130	
2.500	120.967	-138.906	
2.533	91.012	-132.682	
2.567	62.125	-117.466	
2.600	37.283	-96.280	
2.633	17.485	-69.132	
2.667	3.724	-37.028	
2.700	-2.022	-2.984	
2.733	1.216	28.992	
2.767	13.462	61.901	
2.800	31.686	91.766	
2.833	58.871	116.564	
2.867	90.990	132.325	
2.900	125.056	141.071	
2.933	161.048	139.802	
2.967	193.980	130.556	
3.000	223.852	113.333	
3.033	248.680	90.147	
3.067	266.463	61.013	
3.100	277.224	28.932	
3.133	280.962	-6.096	
3.167	274.701	-41.051	
3.200	259.455	-73.938	
3.233	236.247	-101.765	
3.267	206.084	-123.541	
3.300	170.980	-137.279	
3.333	126.952	-140.951	
3.367	87.027	-130.653	
3.400	50.185	-109.377	
3.433	21.425	-77.162	
3.467	3.731	-36.028	
3.500	-0.925	10.007	
3.533	7.358	47.946	
3.567	28.656	87.789	
3.600	61.879	117.542	
3.633	104.027	137.228	
3.667	147.063	141.906	
3.700	188.995	132.593	
3.733	224.844	112.325	
3.767	254.627	83.102	
3.800	273.358	46.961	
3.833	281.052	5.903	
3.867	276.746	-35.066	
3.900	259.455	-73.938	
3.933	232.217	-105.735	
3.967	195.039	-129.459	
4.000	149.959	-140.122	
4.033	101.990	-135.764	
4.067	58.148	-114.437	
4.100	22.417	-78.169	
4.133	1.776	-30.014	
4.167	0.179	23.999	
4.200	19.559	74.856	
4.233	55.849	113.586	
4.267	102.027	137.242	
4.300	153.055	140.862	
4.333	200.965	128.504	
4.367	239.762	101.214	
4.400	266.470	62.013	
4.433	280.134	16.910	
4.467	276.783	-30.066	
4.500	259.455	-73.938	
4.533	227.188	-109.698	
4.567	183.002	-134.369	
4.600	129.952	-140.973	
4.633	78.065	-125.586	
4.667	32.320	-91.243	
4.700	5.694	-41.043	
4.733	-0.880	16.007	
4.767	16.522	69.879	
4.800	51.827	110.616	
4.833	98.012	135.272	
4.867	146.063	141.914	
4.900	190.995	132.578	
4.933	228.822	109.295	
4.967	257.590	78.080	
5.000	275.298	38.947	
5.033	281.000	-1.096	
5.067	274.701	-41.051	
5.100	257.426	-77.923	
5.133	230.210	-106.720	
5.167	197.047	-128.474	
5.200	158.966	-139.190	
