Time(ms)	원점 X(cm)	원점 Y(cm)	좌표 X(cm)	좌표 Y(cm)	각(rad)	각속도(rad/s)	
0.000000	137.011000	0.978000	70.931000	124.474000	0.000000	0.000000	
0.033000	137.011000	0.978000	71.931000	124.467000	0.006293	190.694030	
0.067000	137.011000	0.978000	73.938000	125.452000	0.016016	471.047597	
0.100000	137.011000	0.978000	75.946000	126.437000	0.016029	485.715474	
0.133000	137.011000	0.978000	77.953000	127.422000	0.016021	485.470916	
0.167000	137.011000	0.978000	79.960000	128.407000	0.016011	470.901309	
0.200000	137.011000	0.978000	82.975000	130.384000	0.025386	769.279285	
0.233000	137.011000	0.978000	84.983000	131.369000	0.015903	481.908372	
0.267000	137.011000	0.978000	88.990000	132.340000	0.029186	858.417319	
0.300000	137.011000	0.978000	93.005000	134.310000	0.031680	959.996290	
0.333000	137.011000	0.978000	97.012000	135.280000	0.029327	888.710950	
0.367000	137.011000	0.978000	102.027000	137.242000	0.038154	1122.190562	
0.400000	137.011000	0.978000	107.034000	138.205000	0.036239	1098.165187	
0.433000	137.011000	0.978000	113.042000	139.160000	0.043319	1312.698084	
0.467000	137.011000	0.978000	119.049000	140.116000	0.043366	1275.467324	
0.500000	137.011000	0.978000	125.056000	141.071000	0.043255	1310.753827	
0.533000	137.011000	0.978000	131.056000	141.026000	0.042634	1291.951107	
0.567000	137.011000	0.978000	139.063000	141.966000	0.057049	1677.909978	
0.600000	137.011000	0.978000	146.063000	141.914000	0.049586	1502.613105	
0.633000	137.011000	0.978000	154.055000	140.854000	0.057113	1730.709053	
0.667000	137.011000	0.978000	162.048000	139.795000	0.057188	1682.010192	
0.700000	137.011000	0.978000	169.040000	138.742000	0.049992	1514.918787	
0.733000	137.011000	0.978000	178.025000	136.675000	0.065083	1972.218476	
0.767000	137.011000	0.978000	186.002000	133.616000	0.060299	1773.494666	
0.800000	137.011000	0.978000	193.980000	130.556000	0.060398	1830.245044	
0.833000	137.011000	0.978000	202.950000	126.489000	0.069519	2106.628410	
0.867000	137.011000	0.978000	211.912000	121.422000	0.072616	2135.757098	
0.900000	137.011000	0.978000	219.874000	116.362000	0.066455	2013.793637	
0.933000	137.011000	0.978000	228.829000	110.295000	0.075812	2297.331232	
0.967000	137.011000	0.978000	236.777000	103.236000	0.074448	2189.653125	
1.000000	137.011000	0.978000	244.717000	95.176000	0.079138	2398.123409	
1.033000	137.011000	0.978000	251.650000	86.124000	0.079762	2417.018096	
1.067000	137.011000	0.978000	258.575000	76.073000	0.085471	2513.856243	
1.100000	137.011000	0.978000	264.493000	65.028000	0.087777	2659.912072	
1.133000	137.011000	0.978000	270.410000	53.984000	0.087366	2647.442927	
1.167000	137.011000	0.978000	274.321000	41.954000	0.088213	2594.497682	
1.200000	137.011000	0.978000	277.231000	29.932000	0.086378	2617.527062	
1.233000	137.011000	0.978000	280.134000	16.910000	0.092767	2811.135118	
1.267000	137.011000	0.978000	281.029000	2.903000	0.097495	2867.495504	
1.300000	137.011000	0.978000	279.925000	-11.089000	0.097601	2957.611558	
