Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	0.201	26.999	
0.033	2.224	29.984	
0.066	2.246	32.984	
0.100	2.269	35.984	
0.133	3.291	38.977	
0.166	4.321	42.969	
0.200	6.351	46.954	
0.233	7.380	50.946	
0.266	9.418	55.931	
0.300	10.447	59.924	
0.333	13.477	63.901	
0.366	16.522	69.879	
0.400	18.552	73.864	
0.433	22.596	79.834	
0.466	26.634	84.804	
0.500	30.671	89.774	
0.533	34.715	95.744	
0.566	39.745	99.706	
0.600	44.790	105.669	
0.633	50.819	109.624	
0.666	56.864	115.579	
0.700	63.894	119.527	
0.733	70.923	123.474	
0.766	78.953	127.414	
0.800	86.983	131.355	
0.833	97.012	135.280	
0.866	105.027	137.220	
0.900	115.042	139.145	
0.933	125.056	141.071	
0.966	135.056	140.996	
1.000	146.056	140.914	
1.033	157.055	140.832	
1.066	168.040	138.750	
1.100	179.025	136.668	
1.133	190.995	132.578	
1.166	200.965	128.504	
1.200	212.919	122.415	
1.233	222.859	114.340	
1.266	232.799	106.266	
1.300	242.732	97.191	
1.333	250.657	87.132	
1.366	258.575	76.073	
1.400	265.485	64.021	
1.433	271.381	49.976	
1.466	276.291	37.939	
1.500	279.179	22.917	
1.533	281.067	7.903	
1.566	280.955	-7.096	
1.600	278.836	-23.081	
1.633	275.731	-37.058	
1.666	269.612	-53.013	
1.700	263.508	-66.968	
1.733	253.396	-81.893	
1.766	243.299	-94.818	
1.800	231.210	-106.728	
1.833	217.128	-117.623	
1.866	200.062	-126.496	
1.900	184.010	-133.376	
1.933	164.980	-137.234	
1.966	144.951	-141.085	
2.000	124.959	-139.936	
2.033	105.982	-136.794	
2.066	86.027	-130.645	
2.100	67.103	-120.504	
2.133	49.193	-108.370	
2.166	34.305	-93.258	
2.200	20.440	-75.154	
2.233	9.589	-55.073	
2.266	1.754	-33.014	
2.300	-2.067	-8.984	
2.333	-0.880	16.007	
2.366	3.291	38.977	
2.400	12.470	62.909	
2.433	24.626	83.819	
2.466	41.767	102.691	
2.500	61.886	118.541	
2.533	83.975	130.377	
2.566	107.034	138.205	
2.600	133.063	142.011	
2.633	159.048	139.817	
2.666	183.010	134.638	
2.700	206.942	125.459	
2.733	226.837	111.310	
2.766	246.702	93.162	
2.800	260.545	72.058	
2.833	271.373	48.976	
2.866	279.179	22.917	
2.900	280.992	-2.096	
2.933	276.798	-28.066	
2.966	269.604	-54.013	
3.000	257.433	-76.923	
3.033	239.277	-97.788	
3.066	218.143	-115.631	
3.100	193.039	-129.444	
3.133	164.973	-138.234	
3.166	135.959	-140.018	
3.200	105.982	-136.794	
3.233	77.065	-125.578	
3.266	50.185	-109.377	
3.300	28.365	-85.214	
3.333	11.574	-57.087	
3.366	-0.186	-24.999	
3.400	-0.932	9.007	
3.433	4.313	41.969	
3.466	18.552	73.864	
3.500	39.753	100.706	
3.533	67.909	121.497	
3.566	98.012	135.272	
3.600	132.063	142.018	
3.633	165.048	139.772	
3.666	196.972	129.534	
3.700	224.852	113.325	
3.733	248.680	90.147	
3.766	266.470	62.013	
3.800	277.239	30.932	
3.833	281.000	-1.096	
3.866	276.753	-34.066	
3.900	264.515	-65.975	
3.933	244.307	-93.825	
3.966	218.136	-116.631	
4.000	187.017	-132.399	
4.033	150.958	-140.130	
4.066	112.974	-137.846	
4.100	76.065	-125.571	
4.133	44.230	-103.332	
4.166	18.462	-72.139	
4.200	1.754	-33.014	
4.233	-0.932	9.007	
4.266	7.373	49.946	
4.300	27.648	86.796	
4.333	57.864	115.571	
4.366	93.997	133.302	
4.400	134.063	142.004	
4.433	174.032	137.705	
4.466	210.920	122.429	
4.500	240.740	98.206	
4.533	263.500	66.035	
