Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	154.070	142.854	
0.033	154.070	142.854	
0.066	156.070	142.839	
0.100	158.070	142.824	
0.133	158.070	142.824	
0.166	160.063	141.809	
0.200	163.063	141.787	
0.233	166.055	140.765	
0.266	169.055	140.742	
0.300	172.047	139.720	
0.333	176.032	137.690	
0.366	180.032	137.660	
0.400	184.017	135.631	
0.433	189.010	134.593	
0.466	193.995	132.556	
0.500	197.972	129.526	
0.533	202.957	127.489	
0.566	208.942	125.444	
0.600	213.912	121.407	
0.633	219.882	117.362	
0.666	225.852	113.318	
0.700	230.822	109.281	
0.733	236.777	103.236	
0.766	241.740	98.199	
0.800	247.702	93.154	
0.833	253.650	86.110	
0.866	258.597	79.072	
0.900	263.537	71.035	
0.933	267.470	62.006	
0.966	271.410	53.976	
1.000	276.336	43.939	
1.033	278.261	33.924	
1.066	281.186	23.902	
1.100	282.104	12.895	
1.133	283.022	1.888	
1.166	282.932	-10.111	
1.200	281.850	-21.103	
1.233	277.761	-33.073	
1.266	274.664	-46.050	
1.300	269.582	-57.013	
1.333	263.485	-69.968	
1.366	256.403	-80.915	
1.400	247.321	-91.848	
1.433	237.240	-102.773	
1.466	226.173	-111.690	
1.500	214.106	-120.601	
1.533	201.054	-127.503	
1.566	187.010	-133.399	
1.600	170.965	-139.279	
1.633	154.951	-141.160	
1.666	137.936	-143.033	
1.700	120.952	-140.906	
1.733	103.975	-137.779	
1.766	87.020	-131.653	
1.800	70.073	-124.526	
1.833	55.163	-112.414	
1.866	40.253	-100.303	
1.900	27.365	-85.206	
1.933	15.485	-69.117	
1.966	6.619	-51.050	
2.000	0.769	-31.006	
2.033	-2.074	-9.984	
2.066	-1.917	11.015	
2.100	1.231	30.992	
2.133	8.395	52.939	
2.166	18.544	72.864	
2.200	30.678	90.774	
2.233	45.797	106.661	
2.266	63.901	120.526	
2.300	83.983	131.377	
2.333	106.034	138.213	
2.366	128.071	143.048	
2.400	152.070	142.869	
2.433	175.040	138.698	
2.466	195.987	131.541	
2.500	216.897	119.385	
2.533	234.799	106.251	
2.566	251.672	89.124	
2.600	265.515	68.020	
2.633	274.358	46.954	
2.666	280.186	23.910	
2.700	283.015	0.888	
2.733	280.835	-23.096	
2.766	273.657	-47.043	
2.800	263.485	-69.968	
2.833	248.329	-90.855	
2.866	230.195	-108.720	
2.900	208.084	-123.556	
2.933	184.995	-135.384	
2.966	156.951	-141.175	
3.000	129.937	-142.973	
3.033	103.975	-137.779	
3.066	76.058	-126.571	
3.100	52.170	-111.392	
3.133	30.328	-90.228	
3.166	13.515	-65.102	
3.200	2.731	-36.021	
3.233	-2.044	-5.984	
3.266	-0.805	26.007	
3.300	8.418	55.939	
3.333	25.626	83.811	
3.366	45.797	106.661	
3.400	72.931	124.459	
3.433	101.027	137.250	
3.466	132.071	143.018	
3.500	164.055	140.780	
3.533	193.995	132.556	
3.566	220.882	117.355	
3.600	243.732	97.184	
3.633	263.537	71.035	
3.666	276.336	43.939	
3.700	283.112	13.888	
3.733	281.888	-16.104	
3.766	273.657	-47.043	
3.800	259.433	-76.938	
3.833	238.255	-100.780	
3.866	212.099	-121.586	
3.900	180.995	-135.354	
3.933	146.944	-142.100	
3.966	111.960	-139.839	
4.000	77.050	-127.578	
4.033	47.208	-106.355	
4.066	22.425	-77.169	
4.100	4.679	-43.036	
4.133	-2.022	-2.984	
4.166	1.261	34.992	
4.200	17.544	72.871	
4.233	42.775	103.684	
4.266	74.946	126.444	
4.300	112.049	140.168	
4.333	151.070	142.877	
4.366	188.010	134.601	
4.400	220.882	117.355	
4.433	248.702	93.147	
4.466	268.463	60.998	
4.500	281.201	25.902	
4.533	282.932	-10.111	
4.566	274.657	-47.050	
4.600	256.411	-79.915	
4.633	230.195	-108.720	
4.666	197.039	-129.474	
4.700	157.951	-141.182	
4.733	115.952	-140.869	
4.766	75.058	-126.563	
4.800	39.253	-100.295	
4.833	13.522	-64.102	
4.866	-1.141	-18.992	
4.900	0.201	26.999	
4.933	17.537	71.871	
4.966	46.805	107.654	
5.000	85.983	131.362	
5.033	130.064	142.033	
5.066	174.040	138.705	
5.100	213.912	121.407	
5.133	245.717	95.169	
5.166	269.455	59.991	
5.200	281.164	20.902	
5.233	280.850	-21.096	
5.266	267.545	-61.998	
5.300	243.277	-97.818	
5.333	207.084	-123.548	
5.366	163.958	-140.227	
5.400	117.952	-140.884	
5.433	72.065	-125.541	
5.466	34.305	-93.258	
5.500	7.619	-51.058	
5.533	-2.014	-1.985	
5.566	5.343	45.961	
5.600	28.663	88.789	
5.633	61.894	119.541	
5.666	103.034	138.235	
5.700	146.063	141.914	
5.733	186.010	134.616	
5.766	222.874	116.340	
5.800	249.680	90.139	
5.833	270.440	57.983	
5.866	281.179	22.902	
5.900	282.917	-12.111	
5.933	273.649	-48.043	
5.966	256.411	-79.915	
6.000	232.210	-106.735	
6.033	203.054	-127.518	
6.066	167.965	-139.257	
6.100	132.937	-142.996	
6.133	97.990	-135.735	
6.166	64.103	-120.481	
6.200	38.268	-98.288	
6.233	16.485	-69.124	
6.266	2.731	-36.021	
6.300	-2.014	-1.985	
6.333	1.231	30.992	
6.366	12.462	61.909	
6.400	29.671	89.781	
6.433	51.842	112.616	
6.466	76.953	127.429	
6.500	105.034	138.220	
6.533	134.071	143.003	
6.566	161.063	141.802	
6.600	187.010	134.608	
6.633	210.927	123.429	
6.666	230.822	109.281	
6.700	248.695	92.147	
