Time(ms)	원점 X(cm)	원점 Y(cm)	좌표 X(cm)	좌표 Y(cm)	각(rad)	각속도(rad/s)	
0.000000	140.004000	-0.044000	163.055000	140.787000	0.000000	0.000000	
0.033000	140.004000	-0.044000	167.040000	138.757000	0.030134	913.147661	
0.067000	140.004000	-0.044000	171.040000	138.727000	0.027655	813.367798	
0.100000	140.004000	-0.044000	176.025000	136.690000	0.037558	1138.119024	
0.133000	140.004000	-0.044000	181.025000	136.653000	0.033951	1028.803919	
0.167000	140.004000	-0.044000	187.010000	134.608000	0.044329	1303.807267	
0.200000	140.004000	-0.044000	192.995000	132.563000	0.044303	1342.529635	
0.233000	140.004000	-0.044000	198.972000	129.519000	0.046942	1422.490988	
0.267000	140.004000	-0.044000	204.950000	126.474000	0.047146	1386.649653	
0.300000	140.004000	-0.044000	210.920000	122.429000	0.050603	1533.411777	
0.333000	140.004000	-0.044000	216.889000	118.385000	0.050957	1544.165688	
0.367000	140.004000	-0.044000	222.859000	114.340000	0.051070	1502.044707	
0.400000	140.004000	-0.044000	228.829000	110.295000	0.050906	1542.618805	
0.433000	140.004000	-0.044000	234.785000	104.251000	0.059850	1813.631302	
0.467000	140.004000	-0.044000	241.740000	98.199000	0.065220	1918.221094	
0.500000	140.004000	-0.044000	247.695000	92.154000	0.059888	1814.797163	
0.533000	140.004000	-0.044000	252.635000	84.117000	0.066320	2009.707335	
0.567000	140.004000	-0.044000	258.575000	76.073000	0.071027	2089.030867	
0.600000	140.004000	-0.044000	264.515000	68.028000	0.070380	2132.726102	
0.633000	140.004000	-0.044000	268.455000	59.998000	0.063063	1910.990680	
0.667000	140.004000	-0.044000	272.380000	49.969000	0.076023	2235.960165	
0.700000	140.004000	-0.044000	276.306000	39.939000	0.075895	2299.860366	
0.733000	140.004000	-0.044000	278.216000	27.925000	0.085670	2596.061867	
0.767000	140.004000	-0.044000	280.141000	17.910000	0.072243	2124.804206	
0.800000	140.004000	-0.044000	281.052000	5.903000	0.085285	2584.404172	
0.833000	140.004000	-0.044000	280.962000	-6.096000	0.085046	2577.164115	
0.867000	140.004000	-0.044000	279.865000	-19.089000	0.092430	2718.531807	
0.900000	140.004000	-0.044000	277.776000	-31.073000	0.086185	2611.674548	
0.933000	140.004000	-0.044000	273.679000	-44.043000	0.096456	2922.915922	
0.967000	140.004000	-0.044000	269.590000	-56.013000	0.089726	2638.991755	
1.000000	140.004000	-0.044000	263.500000	-67.968000	0.095145	2883.180676	
1.033000	140.004000	-0.044000	255.411000	-79.908000	0.102500	3106.053537	
1.067000	140.004000	-0.044000	246.321000	-91.840000	0.106882	3143.588535	
1.100000	140.004000	-0.044000	236.247000	-101.765000	0.100830	3055.465259	
1.133000	140.004000	-0.044000	225.173000	-111.683000	0.106030	3213.019178	
1.167000	140.004000	-0.044000	212.106000	-120.586000	0.112647	3313.147117	
1.200000	140.004000	-0.044000	199.054000	-127.488000	0.105164	3186.798050	
1.233000	140.004000	-0.044000	184.010000	-133.376000	0.115101	3487.922358	
1.267000	140.004000	-0.044000	167.980000	-137.257000	0.117660	3460.602788	
1.300000	140.004000	-0.044000	150.951000	-141.130000	0.123695	3748.327203	
1.333000	140.004000	-0.044000	133.951000	-141.003000	0.120351	3647.000719	
1.367000	140.004000	-0.044000	115.967000	-138.869000	0.128531	3780.324705	
1.400000	140.004000	-0.044000	97.997000	-134.735000	0.130871	3965.781403	
1.433000	140.004000	-0.044000	82.042000	-128.615000	0.121216	3673.216942	
1.467000	140.004000	-0.044000	64.110000	-119.481000	0.142532	4192.120579	
1.500000	140.004000	-0.044000	49.200000	-107.370000	0.136136	4125.323509	
1.533000	140.004000	-0.044000	35.298000	-94.266000	0.135851	4116.696215	
1.567000	140.004000	-0.044000	22.417000	-78.169000	0.146311	4303.279335	
1.600000	140.004000	-0.044000	12.552000	-60.095000	0.146118	4427.809615	
1.633000	140.004000	-0.044000	4.694000	-41.036000	0.146155	4428.947761	
1.667000	140.004000	-0.044000	-0.149000	-19.999000	0.152730	4492.069601	
1.700000	140.004000	-0.044000	-1.992000	1.015000	0.148887	4511.737958	
1.733000	140.004000	-0.044000	0.172000	22.999000	0.155865	4723.180279	
1.767000	140.004000	-0.044000	5.328000	43.961000	0.152489	4484.957708	
1.800000	140.004000	-0.044000	13.477000	63.901000	0.152136	4610.180334	
1.833000	140.004000	-0.044000	25.619000	82.811000	0.158936	4816.242931	
1.867000	140.004000	-0.044000	39.753000	100.706000	0.160997	4735.218697	
1.900000	140.004000	-0.044000	56.857000	114.579000	0.155348	4707.523037	
1.933000	140.004000	-0.044000	75.946000	126.437000	0.158762	4810.980818	
1.967000	140.004000	-0.044000	98.012000	135.272000	0.167902	4938.305825	
2.000000	140.004000	-0.044000	120.056000	141.108000	0.160509	4863.923126	
