Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	244.717	95.176	
0.033	244.710	94.176	
0.066	245.710	94.169	
0.100	246.695	92.162	
0.133	247.680	90.154	
0.166	249.680	90.139	
0.200	250.665	88.132	
0.233	252.650	86.117	
0.266	253.635	84.110	
0.300	255.612	81.095	
0.333	257.590	78.080	
0.366	259.575	76.065	
0.400	261.545	72.050	
0.433	263.515	68.035	
0.466	265.493	65.021	
0.500	267.463	61.006	
0.533	269.425	55.991	
0.566	271.395	51.976	
0.600	273.358	46.961	
0.633	274.321	41.954	
0.666	276.283	36.939	
0.700	278.231	29.925	
0.733	278.186	23.925	
0.766	280.141	17.910	
0.800	280.097	11.910	
0.833	281.037	3.903	
0.866	280.985	-3.096	
0.900	279.933	-10.089	
0.933	279.873	-18.089	
0.966	277.813	-26.073	
1.000	276.753	-34.066	
1.033	274.694	-42.051	
1.066	271.634	-50.028	
1.100	267.575	-57.998	
1.133	263.515	-65.968	
1.166	259.455	-73.938	
1.200	255.396	-81.908	
1.233	248.336	-89.855	
1.266	241.277	-97.803	
1.300	234.225	-104.750	
1.333	226.173	-111.690	
1.366	216.128	-117.616	
1.400	207.084	-123.548	
1.433	197.047	-128.474	
1.466	186.010	-133.391	
1.500	174.988	-136.309	
1.533	161.966	-139.212	
1.566	149.951	-141.122	
1.600	137.951	-141.033	
1.633	123.952	-140.928	
1.666	109.967	-138.824	
1.700	97.997	-134.735	
1.733	84.035	-129.630	
1.766	72.080	-123.541	
1.800	59.133	-116.444	
1.833	48.200	-107.362	
1.866	36.275	-97.273	
1.900	26.365	-85.199	
1.933	18.470	-71.139	
1.966	10.567	-58.080	
2.000	4.686	-42.036	
2.033	1.806	-26.014	
2.066	-1.074	-9.992	
2.100	-1.947	7.015	
2.133	0.187	24.999	
2.166	4.306	40.969	
2.200	10.433	57.924	
2.233	18.544	72.864	
2.266	28.656	87.789	
2.300	40.753	100.699	
2.333	54.842	112.594	
2.366	69.923	123.482	
2.400	85.983	131.362	
2.433	104.027	137.228	
2.466	121.056	141.101	
2.500	140.063	141.959	
2.533	159.055	140.817	
2.566	178.025	136.675	
2.600	194.980	130.549	
2.633	211.919	122.422	
2.666	227.837	111.303	
2.700	241.747	99.199	
2.733	253.642	85.110	
2.766	263.523	69.035	
2.800	272.388	50.969	
2.833	277.239	30.932	
2.866	280.104	12.910	
2.900	280.955	-7.096	
2.933	277.806	-27.073	
2.966	273.664	-46.043	
3.000	264.522	-64.975	
3.033	254.396	-81.900	
3.066	240.277	-97.795	
3.100	225.173	-111.683	
3.133	207.084	-123.548	
3.166	187.017	-132.399	
3.200	165.973	-138.242	
3.233	142.951	-141.070	
3.266	119.967	-138.899	
3.300	97.997	-134.735	
3.333	76.065	-125.571	
3.366	55.155	-113.414	
3.400	38.275	-97.288	
3.433	22.417	-78.169	
3.466	10.582	-56.080	
3.500	1.761	-32.014	
3.533	-2.044	-5.984	
3.566	0.142	18.999	
3.600	5.328	43.961	
3.633	15.507	67.886	
3.666	29.671	89.781	
3.700	48.812	108.639	
3.733	70.931	124.474	
3.766	94.005	134.302	
3.800	120.056	141.108	
3.833	146.063	141.914	
3.866	171.040	138.727	
3.900	195.980	130.541	
3.933	219.882	117.362	
3.966	239.762	101.214	
4.000	255.612	81.095	
4.033	268.448	58.998	
4.066	276.261	33.939	
4.100	281.067	7.903	
4.133	279.865	-19.089	
4.166	273.679	-44.043	
4.200	263.493	-68.968	
4.233	247.329	-90.848	
4.266	227.180	-110.698	
4.300	203.076	-124.518	
4.333	176.995	-135.324	
4.366	147.951	-141.108	
4.400	118.967	-138.891	
4.433	89.020	-131.667	
4.466	62.125	-117.466	
4.500	37.275	-97.280	
4.533	18.470	-71.139	
4.566	4.686	-42.036	
4.600	-1.067	-8.992	
4.633	0.172	22.999	
4.666	9.410	54.931	
4.700	25.634	84.811	
4.733	48.812	108.639	
4.766	75.946	126.437	
4.800	106.027	137.213	
4.833	139.063	141.966	
4.866	171.040	138.727	
4.900	200.965	128.504	
4.933	227.837	111.303	
4.966	249.672	89.139	
5.000	266.470	62.013	
5.033	276.261	33.939	
5.066	281.022	1.903	
5.100	277.783	-30.073	
5.133	267.560	-59.998	
5.166	250.359	-86.870	
5.200	227.180	-110.698	
5.233	199.054	-127.488	
5.266	165.980	-137.242	
5.300	131.952	-140.988	
5.333	96.005	-133.720	
5.366	64.118	-118.481	
5.400	35.298	-94.266	
5.433	13.522	-64.102	
5.466	0.806	-26.006	
5.500	-0.895	14.007	
5.533	7.388	51.946	
5.566	26.649	86.804	
5.600	54.849	113.594	
5.633	87.990	132.347	
5.666	126.056	141.063	
5.700	164.048	139.780	
5.733	198.965	128.519	
5.766	229.822	109.288	
5.800	253.627	83.110	
5.833	271.395	51.976	
5.866	280.127	15.910	
5.900	278.858	-20.081	
5.933	269.604	-54.013	
