Time(ms)	원점 X(cm)	원점 Y(cm)	좌표 X(cm)	좌표 Y(cm)	각(rad)	각속도(rad/s)	
0.000000	139.011000	0.963000	244.717000	95.176000	0.000000	0.000000	
0.033000	139.011000	0.963000	244.710000	94.176000	0.005264	159.519665	
0.066000	139.011000	0.963000	245.710000	94.169000	0.004706	142.594310	
0.100000	139.011000	0.963000	246.695000	92.162000	0.015304	450.118970	
0.133000	139.011000	0.963000	247.680000	90.154000	0.015428	467.523916	
0.166000	139.011000	0.963000	249.680000	90.139000	0.009009	273.011328	
0.200000	139.011000	0.963000	250.665000	88.132000	0.015396	452.830506	
0.233000	139.011000	0.963000	252.650000	86.117000	0.019788	599.642548	
0.266000	139.011000	0.963000	253.635000	84.110000	0.015514	470.120876	
0.300000	139.011000	0.963000	255.612000	81.095000	0.025457	748.749679	
0.333000	139.011000	0.963000	257.590000	78.080000	0.025490	772.409826	
0.366000	139.011000	0.963000	259.575000	76.065000	0.019512	591.283486	
0.400000	139.011000	0.963000	261.545000	72.050000	0.031415	923.956108	
0.433000	139.011000	0.963000	263.515000	68.035000	0.031553	956.137727	
0.466000	139.011000	0.963000	265.493000	65.021000	0.025335	767.726854	
0.500000	139.011000	0.963000	267.463000	61.006000	0.031544	927.753633	
0.533000	139.011000	0.963000	269.425000	55.991000	0.037975	1150.755732	
0.566000	139.011000	0.963000	271.395000	51.976000	0.031477	953.858079	
0.600000	139.011000	0.963000	273.358000	46.961000	0.037934	1115.698109	
0.633000	139.011000	0.963000	274.321000	41.954000	0.035719	1082.394947	
0.666000	139.011000	0.963000	276.283000	36.939000	0.037839	1146.649754	
0.700000	139.011000	0.963000	278.231000	29.925000	0.051209	1506.135207	
0.733000	139.011000	0.963000	278.186000	23.925000	0.041592	1260.351182	
0.766000	139.011000	0.963000	280.141000	17.910000	0.044005	1333.483286	
0.800000	139.011000	0.963000	280.097000	11.910000	0.042073	1237.433257	
0.833000	139.011000	0.963000	281.037000	3.903000	0.056738	1719.343797	
0.866000	139.011000	0.963000	280.985000	-3.096000	0.049279	1493.316219	
0.900000	139.011000	0.963000	279.933000	-10.089000	0.049684	1461.300177	
0.933000	139.011000	0.963000	279.873000	-18.089000	0.056171	1702.150689	
0.966000	139.011000	0.963000	277.813000	-26.073000	0.057935	1755.612405	
1.000000	139.011000	0.963000	276.753000	-34.066000	0.056658	1666.397412	
1.033000	139.011000	0.963000	274.694000	-42.051000	0.057966	1756.547181	
1.066000	139.011000	0.963000	271.634000	-50.028000	0.060061	1820.020997	
1.100000	139.011000	0.963000	267.575000	-57.998000	0.062936	1851.058306	
1.133000	139.011000	0.963000	263.515000	-65.968000	0.063266	1917.151661	
1.166000	139.011000	0.963000	259.455000	-73.938000	0.063090	1911.809110	
1.200000	139.011000	0.963000	255.396000	-81.908000	0.062414	1835.701927	
1.233000	139.011000	0.963000	248.336000	-89.855000	0.074429	2255.434147	
1.266000	139.011000	0.963000	241.277000	-97.803000	0.074798	2266.614312	
1.300000	139.011000	0.963000	234.225000	-104.750000	0.069614	2047.462780	
1.333000	139.011000	0.963000	226.173000	-111.690000	0.074682	2263.099325	
1.366000	139.011000	0.963000	216.128000	-117.616000	0.081894	2481.647948	
1.400000	139.011000	0.963000	207.084000	-123.548000	0.076293	2243.898362	
1.433000	139.011000	0.963000	197.047000	-128.474000	0.078824	2388.603074	
1.466000	139.011000	0.963000	186.010000	-133.391000	0.084990	2575.455269	
1.500000	139.011000	0.963000	174.988000	-136.309000	0.080189	2358.505817	
1.533000	139.011000	0.963000	161.966000	-139.212000	0.094002	2848.535334	
1.566000	139.011000	0.963000	149.951000	-141.122000	0.085474	2590.130059	
1.600000	139.011000	0.963000	137.951000	-141.033000	0.084309	2479.688489	
1.633000	139.011000	0.963000	123.952000	-140.928000	0.098270	2977.881731	
1.666000	139.011000	0.963000	109.967000	-138.824000	0.099124	3003.745188	
1.700000	139.011000	0.963000	97.997000	-134.735000	0.088656	2607.538836	
1.733000	139.011000	0.963000	84.035000	-129.630000	0.104939	3179.972989	
1.766000	139.011000	0.963000	72.080000	-123.541000	0.094805	2872.867139	
1.800000	139.011000	0.963000	59.133000	-116.444000	0.104158	3063.476986	
1.833000	139.011000	0.963000	48.200000	-107.362000	0.100257	3038.094910	
1.866000	139.011000	0.963000	36.275000	-97.273000	0.110112	3336.716923	
1.900000	139.011000	0.963000	26.365000	-85.199000	0.110047	3236.670575	
1.933000	139.011000	0.963000	18.470000	-71.139000	0.113903	3451.617603	
1.966000	139.011000	0.963000	10.567000	-58.080000	0.108187	3278.388982	
2.000000	139.011000	0.963000	4.686000	-42.036000	0.121069	3560.866784	
2.033000	139.011000	0.963000	1.806000	-26.014000	0.115663	3504.924679	
2.066000	139.011000	0.963000	-1.074000	-9.992000	0.116098	3518.122440	
2.100000	139.011000	0.963000	-1.947000	7.015000	0.120952	3557.414856	
2.133000	139.011000	0.963000	0.187000	24.999000	0.128532	3894.910133	
2.166000	139.011000	0.963000	4.306000	40.969000	0.117252	3553.100867	
2.200000	139.011000	0.963000	10.433000	57.924000	0.128331	3774.437144	
2.233000	139.011000	0.963000	18.544000	72.864000	0.121078	3669.033808	
2.266000	139.011000	0.963000	28.656000	87.789000	0.128531	3894.880568	
2.300000	139.011000	0.963000	40.753000	100.699000	0.126230	3712.649265	
2.333000	139.011000	0.963000	54.842000	112.594000	0.131882	3996.413709	
2.366000	139.011000	0.963000	69.923000	123.482000	0.132602	4018.252288	
2.400000	139.011000	0.963000	85.983000	131.362000	0.127215	3741.626183	
2.433000	139.011000	0.963000	104.027000	137.228000	0.134927	4088.689467	
2.466000	139.011000	0.963000	121.056000	141.101000	0.123878	3753.877466	
2.500000	139.011000	0.963000	140.063000	141.959000	0.134891	3967.368194	
2.533000	139.011000	0.963000	159.055000	140.817000	0.134890	4087.588876	
2.566000	139.011000	0.963000	178.025000	136.675000	0.137577	4168.986188	
2.600000	139.011000	0.963000	194.980000	130.549000	0.127778	3758.166634	
2.633000	139.011000	0.963000	211.919000	122.422000	0.132911	4027.609803	
2.666000	139.011000	0.963000	227.837000	111.303000	0.137178	4156.912461	
2.700000	139.011000	0.963000	241.747000	99.199000	0.129991	3823.254642	
2.733000	139.011000	0.963000	253.642000	85.110000	0.129784	3932.849167	
2.766000	139.011000	0.963000	263.523000	69.035000	0.132913	4027.655676	
2.800000	139.011000	0.963000	272.388000	50.969000	0.141612	4165.046881	
2.833000	139.011000	0.963000	277.239000	30.932000	0.145198	4399.951418	
2.866000	139.011000	0.963000	280.104000	12.910000	0.129031	3910.028127	
2.900000	139.011000	0.963000	280.955000	-7.096000	0.141188	4152.593243	
2.933000	139.011000	0.963000	277.806000	-27.073000	0.142599	4321.175372	
2.966000	139.011000	0.963000	273.664000	-46.043000	0.136550	4137.878298	
3.000000	139.011000	0.963000	264.522000	-64.975000	0.147863	4348.897468	
3.033000	139.011000	0.963000	254.396000	-81.900000	0.139073	4214.335430	
3.066000	139.011000	0.963000	240.277000	-97.795000	0.150061	4547.301433	
3.100000	139.011000	0.963000	225.173000	-111.683000	0.144972	4263.884585	
3.133000	139.011000	0.963000	207.084000	-123.548000	0.152640	4625.463532	
3.166000	139.011000	0.963000	187.017000	-132.399000	0.154797	4690.809867	
3.200000	139.011000	0.963000	165.973000	-138.242000	0.154210	4535.594602	
3.233000	139.011000	0.963000	142.951000	-141.070000	0.163584	4957.083852	
3.266000	139.011000	0.963000	119.967000	-138.899000	0.163063	4941.316608	
3.300000	139.011000	0.963000	97.997000	-134.735000	0.158184	4652.480622	
3.333000	139.011000	0.963000	76.065000	-125.571000	0.168101	5093.975368	
3.366000	139.011000	0.963000	55.155000	-113.414000	0.171016	5182.315329	
3.400000	139.011000	0.963000	38.275000	-97.288000	0.165253	4860.391328	
3.433000	139.011000	0.963000	22.417000	-78.169000	0.176625	5352.285783	
3.466000	139.011000	0.963000	10.582000	-56.080000	0.178299	5402.985158	
3.500000	139.011000	0.963000	1.761000	-32.014000	0.182187	5358.433955	
3.533000	139.011000	0.963000	-2.044000	-5.984000	0.186589	5654.222245	
3.566000	139.011000	0.963000	0.142000	18.999000	0.178365	5405.010954	
3.600000	139.011000	0.963000	5.328000	43.961000	0.182036	5354.012421	
3.633000	139.011000	0.963000	15.507000	67.886000	0.185388	5617.817885	
3.666000	139.011000	0.963000	29.671000	89.781000	0.185623	5624.939051	
3.700000	139.011000	0.963000	48.812000	108.639000	0.191291	5626.198971	
3.733000	139.011000	0.963000	70.931000	124.474000	0.193535	5864.688015	
3.766000	139.011000	0.963000	94.005000	134.302000	0.178245	5401.371194	
3.800000	139.011000	0.963000	120.056000	141.108000	0.191086	5620.188412	
3.833000	139.011000	0.963000	146.063000	141.914000	0.184427	5588.692648	
3.866000	139.011000	0.963000	171.040000	138.727000	0.178444	5407.388246	
3.900000	139.011000	0.963000	195.980000	130.541000	0.185780	5464.121023	
3.933000	139.011000	0.963000	219.882000	117.362000	0.192996	5848.368353	
3.966000	139.011000	0.963000	239.762000	101.214000	0.180676	5475.021969	
4.000000	139.011000	0.963000	255.612000	81.095000	0.180805	5317.792152	
4.033000	139.011000	0.963000	268.448000	58.998000	0.180612	5473.103110	
4.066000	139.011000	0.963000	276.261000	33.939000	0.185700	5627.282413	
4.100000	139.011000	0.963000	281.067000	7.903000	0.186978	5499.347465	
4.133000	139.011000	0.963000	279.865000	-19.089000	0.190225	5764.398591	
4.166000	139.011000	0.963000	273.679000	-44.043000	0.181120	5488.486523	
4.200000	139.011000	0.963000	263.493000	-68.968000	0.189309	5567.919438	
4.233000	139.011000	0.963000	247.329000	-90.848000	0.191263	5795.858927	
4.266000	139.011000	0.963000	227.180000	-110.698000	0.199318	6039.948830	
4.300000	139.011000	0.963000	203.076000	-124.518000	0.196319	5774.092623	
4.333000	139.011000	0.963000	176.995000	-135.324000	0.200248	6068.117296	
4.366000	139.011000	0.963000	147.951000	-141.108000	0.208965	6332.270295	
4.400000	139.011000	0.963000	118.967000	-138.891000	0.205195	6035.144776	
4.433000	139.011000	0.963000	89.020000	-131.667000	0.218102	6609.153281	
4.466000	139.011000	0.963000	62.125000	-117.466000	0.215370	6526.373139	
4.500000	139.011000	0.963000	37.275000	-97.280000	0.227039	6677.627957	
4.533000	139.011000	0.963000	18.470000	-71.139000	0.228873	6935.532133	
