Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-4.880	16.037	
0.033	-4.872	17.037	
0.066	-3.858	19.029	
0.100	-3.858	19.029	
0.133	-3.843	21.029	
0.166	-3.813	25.029	
0.200	-2.798	27.022	
0.233	-1.768	31.014	
0.266	-1.738	35.014	
0.300	0.291	38.999	
0.333	1.336	44.991	
0.366	3.366	48.976	
0.400	5.410	54.961	
0.433	7.455	60.946	
0.466	11.500	66.916	
0.500	14.552	73.893	
0.533	18.604	80.863	
0.566	23.649	86.826	
0.600	29.701	93.781	
0.633	35.753	100.736	
0.666	42.797	106.684	
0.700	50.849	113.624	
0.733	59.894	119.556	
0.766	69.931	124.482	
0.800	79.975	130.407	
0.833	90.005	134.332	
0.866	102.034	138.242	
0.900	115.049	140.145	
0.933	128.064	142.048	
0.966	142.063	141.944	
1.000	156.048	139.839	
1.033	170.033	137.735	
1.066	184.002	133.631	
1.100	197.957	127.526	
1.133	210.912	121.429	
1.166	223.837	111.333	
1.200	235.755	100.243	
1.233	247.657	87.154	
1.266	257.553	73.080	
1.300	265.440	58.021	
1.333	271.306	39.976	
1.366	275.186	23.947	
1.400	277.045	4.933	
1.433	276.903	-14.066	
1.466	272.754	-34.036	
1.500	266.619	-51.991	
1.533	258.485	-69.930	
1.566	246.351	-87.840	
1.600	232.240	-102.735	
1.633	214.136	-116.601	
1.666	195.054	-127.459	
1.700	173.988	-136.302	
1.733	149.959	-140.122	
1.766	124.959	-139.936	
1.800	100.982	-136.757	
1.833	77.050	-127.578	
1.866	54.148	-114.407	
1.900	33.283	-96.251	
1.933	16.440	-75.124	
1.966	3.634	-49.028	
2.000	-4.156	-20.969	
2.033	-4.932	9.037	
2.066	-0.716	38.006	
2.100	10.492	65.924	
2.133	27.678	90.796	
2.166	49.842	112.631	
2.200	75.961	128.437	
2.233	105.034	138.220	
2.266	135.063	141.996	
2.300	165.040	138.772	
2.333	193.972	129.556	
2.366	219.860	114.362	
2.400	242.702	93.191	
2.433	260.515	68.058	
2.466	272.298	38.969	
2.500	277.074	8.933	
2.533	275.836	-23.059	
2.566	266.612	-52.991	
2.600	251.396	-81.878	
2.633	229.217	-105.713	
2.666	201.069	-125.503	
2.700	167.988	-136.257	
2.733	132.952	-140.996	
2.766	96.990	-135.727	
2.800	63.110	-119.474	
2.833	32.290	-95.243	
2.866	9.537	-62.072	
2.900	-3.171	-22.976	
2.933	-4.865	18.037	
2.966	7.440	58.946	
3.000	29.693	92.781	
3.033	60.901	120.549	
3.066	99.027	137.265	
3.100	139.063	141.966	
3.133	179.017	135.668	
3.166	214.890	118.400	
3.200	243.695	92.184	
3.233	264.448	59.028	
3.266	276.164	20.940	
3.300	275.873	-18.059	
3.333	265.582	-56.983	
3.366	243.329	-90.818	
3.400	213.128	-117.593	
3.433	172.995	-135.294	
3.466	129.952	-140.973	
3.500	84.020	-131.630	
3.533	43.208	-106.325	
3.566	12.492	-68.095	
3.600	-3.149	-19.977	
3.633	-1.761	32.014	
3.666	17.589	78.871	
3.700	53.864	115.601	
3.733	99.027	137.265	
3.766	148.056	140.899	
3.800	193.972	129.556	
3.833	232.777	103.266	
3.866	260.508	67.058	
3.900	275.179	22.947	
