Time(ms)	원점 X(cm)	원점 Y(cm)	좌표 X(cm)	좌표 Y(cm)	각(rad)	각속도(rad/s)	
0.000000	136.019000	1.985000	-4.880000	16.037000	0.000000	0.000000	
0.033000	136.019000	1.985000	-4.872000	17.037000	0.007028	212.980195	
0.066000	136.019000	1.985000	-3.858000	19.029000	0.014822	449.136586	
0.100000	136.019000	1.985000	-3.858000	19.029000	0.000000	0.000000	
0.133000	136.019000	1.985000	-3.843000	21.029000	0.014078	426.616743	
0.166000	136.019000	1.985000	-3.813000	25.029000	0.027999	848.460664	
0.200000	136.019000	1.985000	-2.798000	27.022000	0.015112	444.460308	
0.233000	136.019000	1.985000	-1.768000	31.014000	0.029202	884.916529	
0.266000	136.019000	1.985000	-1.738000	35.014000	0.027677	838.697992	
0.300000	136.019000	1.985000	0.291000	38.999000	0.030913	909.196675	
0.333000	136.019000	1.985000	1.336000	44.991000	0.042846	1298.365673	
0.366000	136.019000	1.985000	3.366000	48.976000	0.031368	950.536123	
0.400000	136.019000	1.985000	5.410000	54.961000	0.044884	1320.118306	
0.433000	136.019000	1.985000	7.455000	60.946000	0.044661	1353.377586	
0.466000	136.019000	1.985000	11.500000	66.916000	0.050671	1535.484293	
0.500000	136.019000	1.985000	14.552000	73.893000	0.053850	1583.823009	
0.533000	136.019000	1.985000	18.604000	80.863000	0.057026	1728.069221	
0.566000	136.019000	1.985000	23.649000	86.826000	0.055163	1671.604606	
0.600000	136.019000	1.985000	29.701000	93.781000	0.065525	1927.206078	
0.633000	136.019000	1.985000	35.753000	100.736000	0.065558	1986.609092	
0.666000	136.019000	1.985000	42.797000	106.684000	0.065535	1985.914714	
0.700000	136.019000	1.985000	50.849000	113.624000	0.075766	2228.402689	
0.733000	136.019000	1.985000	59.894000	119.556000	0.077107	2336.579714	
0.766000	136.019000	1.985000	69.931000	124.482000	0.079851	2419.723226	
0.800000	136.019000	1.985000	79.975000	130.407000	0.083261	2448.840771	
0.833000	136.019000	1.985000	90.005000	134.332000	0.076887	2329.914848	
0.866000	136.019000	1.985000	102.034000	138.242000	0.090173	2732.503072	
0.900000	136.019000	1.985000	115.049000	140.145000	0.093800	2758.833090	
0.933000	136.019000	1.985000	128.064000	142.048000	0.093896	2845.331410	
0.966000	136.019000	1.985000	142.063000	141.944000	0.099892	3027.035739	
1.000000	136.019000	1.985000	156.048000	139.839000	0.101125	2974.251280	
1.033000	136.019000	1.985000	170.033000	137.735000	0.101227	3067.490145	
1.066000	136.019000	1.985000	184.002000	133.631000	0.104011	3151.860510	
1.100000	136.019000	1.985000	197.957000	127.526000	0.108808	3200.239233	
1.133000	136.019000	1.985000	210.912000	121.429000	0.101717	3082.345520	
1.166000	136.019000	1.985000	223.837000	111.333000	0.116586	3532.905179	
1.200000	136.019000	1.985000	235.755000	100.243000	0.116231	3418.562180	
