Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-5.999	0.045	
0.034	-5.984	2.045	
0.067	-5.969	4.045	
0.100	-5.947	7.045	
0.134	-4.910	12.037	
0.167	-3.880	16.029	
0.200	-3.835	22.029	
0.234	-2.790	28.022	
0.267	-1.731	36.014	
0.300	0.328	43.999	
0.334	4.388	51.969	
0.367	8.455	60.939	
0.400	12.522	69.909	
0.434	18.596	79.863	
0.467	25.663	88.811	
0.500	35.738	98.736	
0.534	44.812	108.669	
0.567	56.872	116.579	
0.600	68.931	124.489	
0.634	83.990	132.377	
0.667	100.027	137.257	
0.700	117.056	141.130	
0.734	135.063	141.996	
0.767	154.055	140.854	
0.800	173.025	136.713	
0.834	191.980	130.571	
0.867	209.912	121.437	
0.900	227.815	108.303	
0.934	242.702	93.191	
0.967	255.568	75.095	
1.000	266.418	55.013	
1.034	273.254	32.962	
1.067	276.074	8.940	
1.100	275.880	-17.059	
1.134	270.694	-42.021	
1.167	260.515	-65.945	
1.200	245.344	-88.833	
1.234	225.195	-108.683	
1.267	201.076	-124.503	
1.300	172.995	-135.294	
1.334	141.951	-141.063	
1.367	109.967	-138.824	
1.400	78.043	-128.585	
1.434	48.178	-110.362	
1.467	23.372	-84.176	
1.500	4.612	-52.035	
1.534	-4.111	-14.969	
1.567	-3.813	25.029	
1.600	8.470	62.939	
1.634	31.716	95.766	
1.667	62.909	121.534	
1.700	100.027	137.257	
1.734	140.063	141.959	
1.767	180.010	134.660	
1.800	214.882	117.400	
1.834	244.687	91.177	
1.867	265.433	57.021	
1.900	276.149	18.940	
1.934	275.843	-22.059	
1.967	263.560	-59.968	
2.000	239.307	-93.788	
2.034	206.099	-121.541	
2.067	164.980	-137.234	
2.100	116.967	-138.876	
2.134	71.073	-124.533	
2.167	30.298	-94.228	
2.200	3.634	-49.028	
2.234	-4.962	5.037	
2.267	7.440	58.946	
2.300	39.775	103.706	
2.334	84.983	131.369	
2.367	138.063	141.974	
2.400	187.987	131.601	
2.434	229.792	105.288	
2.467	261.500	66.050	
2.500	275.149	18.947	
2.534	273.776	-31.043	
2.567	253.433	-76.893	
2.600	217.143	-115.623	
2.634	166.980	-137.249	
2.667	107.982	-136.809	
2.700	53.155	-113.399	
2.734	10.522	-64.080	
2.767	-4.984	2.037	
2.800	11.500	66.916	
2.834	56.879	117.579	
2.867	118.049	140.123	
2.900	179.017	135.668	
2.934	229.792	105.288	
2.967	263.448	59.036	
3.000	277.030	2.933	
3.034	266.597	-54.991	
3.067	230.240	-102.721	
3.100	177.010	-133.324	
3.134	110.975	-137.831	
3.167	46.193	-108.347	
3.200	3.642	-48.028	
3.234	-2.813	25.022	
3.267	25.671	89.811	
3.300	80.975	130.399	
3.334	143.063	141.936	
3.367	199.950	126.511	
