Time(ms)	원점 X(cm)	원점 Y(cm)	좌표 X(cm)	좌표 Y(cm)	각(rad)	각속도(rad/s)	
0.000000	136.011000	0.985000	-5.999000	0.045000	0.000000	0.000000	
0.034000	136.011000	0.985000	-5.984000	2.045000	0.014084	414.237306	
0.067000	136.011000	0.985000	-5.969000	4.045000	0.014084	426.790372	
0.100000	136.011000	0.985000	-5.947000	7.045000	0.021114	639.811661	
0.134000	136.011000	0.985000	-4.910000	12.037000	0.035604	1047.174565	
0.167000	136.011000	0.985000	-3.880000	16.029000	0.028862	874.619321	
0.200000	136.011000	0.985000	-3.835000	22.029000	0.042230	1279.697485	
0.234000	136.011000	0.985000	-2.790000	28.022000	0.043021	1265.337283	
0.267000	136.011000	0.985000	-1.731000	36.014000	0.056649	1716.642994	
0.300000	136.011000	0.985000	0.328000	43.999000	0.057966	1756.547181	
0.334000	136.011000	0.985000	4.388000	51.969000	0.062557	1839.906916	
0.367000	136.011000	0.985000	8.455000	60.939000	0.069825	2115.919628	
0.400000	136.011000	0.985000	12.522000	69.909000	0.069692	2111.885393	
0.434000	136.011000	0.985000	18.596000	79.863000	0.082470	2425.574197	
0.467000	136.011000	0.985000	25.663000	88.811000	0.080696	2445.340890	
0.500000	136.011000	0.985000	35.738000	98.736000	0.100427	3043.240479	
0.534000	136.011000	0.985000	44.812000	108.669000	0.095434	2806.883076	
0.567000	136.011000	0.985000	56.872000	116.579000	0.102364	3101.942844	
0.600000	136.011000	0.985000	68.931000	124.489000	0.102774	3114.356598	
0.634000	136.011000	0.985000	83.990000	132.377000	0.120575	3546.334285	
0.667000	136.011000	0.985000	100.027000	137.257000	0.118819	3600.567247	
0.700000	136.011000	0.985000	117.056000	141.130000	0.123730	3749.404383	
0.734000	136.011000	0.985000	135.063000	141.996000	0.127714	3756.299726	
0.767000	136.011000	0.985000	154.055000	140.854000	0.135021	4091.533288	
0.800000	136.011000	0.985000	173.025000	136.713000	0.137936	4179.864439	
0.834000	136.011000	0.985000	191.980000	130.571000	0.141472	4160.951832	
0.867000	136.011000	0.985000	209.912000	121.437000	0.142603	4321.317462	
0.900000	136.011000	0.985000	227.815000	108.303000	0.157334	4767.697644	
0.934000	136.011000	0.985000	242.702000	93.191000	0.150453	4425.095662	
0.967000	136.011000	0.985000	255.568000	75.095000	0.157797	4781.721987	
1.000000	136.011000	0.985000	266.418000	55.013000	0.162128	4912.960498	
1.034000	136.011000	0.985000	273.254000	32.962000	0.163864	4819.524566	
1.067000	136.011000	0.985000	276.074000	8.940000	0.172177	5217.472471	
1.100000	136.011000	0.985000	275.880000	-17.059000	0.185033	5607.052673	
1.134000	136.011000	0.985000	270.694000	-42.021000	0.180782	5317.105697	
1.167000	136.011000	0.985000	260.515000	-65.945000	0.184173	5580.998439	
1.200000	136.011000	0.985000	245.344000	-88.833000	0.194467	5892.929661	
