Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-6.052	-6.955	
0.033	-6.044	-5.955	
0.066	-6.029	-3.955	
0.100	-6.022	-2.955	
0.133	-4.999	0.037	
0.166	-4.984	2.037	
0.200	-4.955	6.037	
0.233	-4.940	8.037	
0.266	-5.910	12.044	
0.300	-4.880	16.037	
0.333	-3.843	21.029	
0.366	-2.805	26.022	
0.400	-1.768	31.014	
0.433	-0.731	36.006	
0.466	0.313	41.999	
0.500	2.358	47.984	
0.533	5.403	53.961	
0.566	7.455	60.946	
0.600	11.500	66.916	
0.633	15.552	73.886	
0.666	19.604	80.856	
0.700	24.649	86.818	
0.733	29.701	93.781	
0.766	35.753	100.736	
0.800	42.805	107.684	
0.833	49.849	113.631	
0.866	58.894	119.564	
0.900	67.931	124.497	
0.933	77.968	129.422	
0.966	87.998	133.347	
1.000	99.027	137.265	
1.033	110.042	139.183	
1.066	122.056	141.093	
1.100	135.063	141.996	
1.133	148.056	140.899	
1.166	161.055	140.802	
1.200	173.025	136.713	
1.233	185.995	132.616	
1.266	198.957	127.519	
1.300	210.905	120.429	
1.333	222.845	112.340	
1.366	232.770	102.266	
1.400	243.695	92.184	
1.433	252.605	80.117	
1.466	260.508	67.058	
1.500	267.396	52.006	
1.533	272.283	36.969	
1.566	276.171	21.940	
1.600	277.045	4.933	
1.633	276.918	-12.066	
1.666	273.791	-29.043	
1.700	269.664	-46.013	
1.733	262.545	-61.960	
1.766	253.426	-77.893	
1.800	242.314	-92.810	
1.833	228.218	-105.706	
1.866	213.128	-117.593	
1.900	196.054	-127.466	
1.933	175.995	-135.317	
1.966	155.966	-139.167	
2.000	135.951	-141.018	
2.033	113.967	-138.854	
2.066	91.997	-134.690	
2.100	72.065	-125.541	
2.133	52.155	-113.392	
2.166	34.275	-97.258	
2.200	18.410	-79.139	
2.233	7.567	-58.058	
2.266	-0.253	-33.999	
2.300	-5.067	-8.962	
2.333	-3.880	16.029	
2.366	0.313	41.999	
2.400	10.492	65.924	
2.433	24.656	87.818	
2.466	42.797	106.684	
2.500	64.916	122.519	
2.533	88.998	133.340	
2.566	114.049	140.153	
2.600	141.063	141.951	
2.633	167.040	138.757	
2.666	191.980	130.571	
2.700	215.882	117.392	
2.733	236.755	100.236	
2.766	253.597	79.110	
2.800	266.418	55.013	
2.833	274.224	28.954	
2.866	277.022	1.933	
2.900	274.813	-26.051	
2.933	266.612	-52.991	
2.966	253.426	-77.893	
3.000	235.255	-100.758	
3.033	212.128	-117.586	
3.066	185.025	-131.384	
3.100	154.966	-139.160	
3.133	122.959	-139.921	
3.166	91.005	-133.682	
3.200	61.110	-119.459	
3.233	35.268	-98.265	
