Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	1.657	-46.013	
0.034	1.672	-44.013	
0.067	1.687	-42.013	
0.100	-0.291	-38.998	
0.134	-0.268	-35.998	
0.167	-2.238	-31.984	
0.200	-2.208	-27.984	
0.234	-4.164	-21.969	
0.267	-4.119	-15.969	
0.300	-4.074	-9.969	
0.334	-6.029	-3.955	
0.367	-5.984	2.045	
0.400	-5.925	10.044	
0.434	-3.865	18.029	
0.467	-3.805	26.029	
0.500	-1.738	35.014	
0.534	1.328	43.991	
0.567	4.395	52.969	
0.600	8.470	62.939	
0.634	13.544	72.901	
0.667	19.611	81.856	
0.700	27.686	91.796	
0.734	35.753	100.736	
0.767	45.812	108.661	
0.800	55.872	116.586	
0.834	66.931	124.504	
0.867	79.975	130.407	
0.900	93.012	135.310	
0.934	108.042	139.198	
0.967	122.056	141.093	
1.000	138.071	142.974	
1.034	154.055	140.854	
1.067	170.033	137.735	
1.100	185.995	132.616	
1.134	201.950	126.496	
1.167	215.875	116.392	
1.200	230.792	105.281	
1.234	243.695	92.184	
1.267	254.582	77.102	
1.300	263.463	61.036	
1.334	270.328	42.984	
1.367	275.186	23.947	
1.400	277.030	2.933	
1.434	275.880	-17.059	
1.467	271.724	-38.028	
1.500	264.575	-57.975	
1.534	253.433	-76.893	
1.567	240.299	-94.795	
1.600	222.180	-110.661	
1.634	203.084	-123.518	
1.667	181.010	-133.354	
1.700	156.966	-139.175	
1.734	130.952	-140.981	
1.767	104.982	-136.787	
1.800	79.043	-128.593	
1.834	55.140	-115.414	
1.867	33.275	-97.251	
1.900	15.455	-73.117	
1.934	2.649	-47.021	
1.967	-4.126	-16.969	
2.000	-4.895	14.037	
2.034	1.336	44.991	
2.067	15.552	73.886	
2.100	34.745	99.743	
2.134	58.894	119.564	
2.167	89.005	134.340	
2.200	120.056	141.108	
2.234	153.055	140.862	
2.267	183.002	133.638	
2.300	211.897	119.422	
2.334	236.747	99.236	
2.367	255.560	74.095	
2.400	270.343	44.984	
2.434	276.104	12.940	
2.467	274.851	-21.051	
2.500	266.612	-52.991	
2.534	250.396	-81.870	
2.567	227.210	-106.698	
2.600	196.069	-125.466	
2.634	161.981	-137.212	
2.667	124.959	-139.936	
2.700	87.020	-131.653	
2.734	51.155	-113.384	
2.767	22.380	-83.169	
2.800	2.657	-46.021	
2.834	-6.022	-2.955	
2.867	0.306	40.999	
2.900	18.596	79.863	
2.934	49.834	111.631	
2.967	86.990	132.355	
3.000	130.064	142.033	
3.034	172.025	136.720	
3.067	209.912	121.437	
3.100	240.710	94.206	
3.134	263.455	60.036	
3.167	276.171	21.940	
3.200	274.858	-20.051	
3.234	263.567	-58.968	
3.267	240.299	-94.795	
3.300	206.099	-121.541	
3.334	164.980	-137.234	
3.367	117.959	-139.884	
3.400	73.065	-125.548	
3.434	32.283	-96.243	
3.467	4.619	-51.035	
3.500	-4.992	1.037	
