Time(ms)	원점 X(cm)	원점 Y(cm)	좌표 X(cm)	좌표 Y(cm)	각(rad)	각속도(rad/s)	
0.000000	135.026000	2.992000	10.522000	-64.080000	0.000000	0.000000	
0.033000	135.026000	2.992000	9.530000	-63.072000	0.009575	290.144438	
0.067000	135.026000	2.992000	8.552000	-60.065000	0.022054	648.635662	
0.100000	135.026000	2.992000	7.567000	-58.058000	0.015820	479.385766	
0.133000	135.026000	2.992000	5.582000	-56.043000	0.018802	569.750131	
0.167000	135.026000	2.992000	5.612000	-52.043000	0.025793	758.630009	
0.200000	135.026000	2.992000	3.649000	-47.028000	0.038303	1160.702675	
0.233000	135.026000	2.992000	1.687000	-42.013000	0.038274	1159.807614	
0.267000	135.026000	2.992000	-0.268000	-35.998000	0.044932	1321.535122	
0.300000	135.026000	2.992000	-2.223000	-29.984000	0.044790	1357.267202	
0.333000	135.026000	2.992000	-3.179000	-23.976000	0.043086	1305.627629	
0.367000	135.026000	2.992000	-4.119000	-15.969000	0.057275	1684.563919	
0.400000	135.026000	2.992000	-6.052000	-6.955000	0.065043	1971.004218	
0.433000	135.026000	2.992000	-5.984000	2.045000	0.063675	1929.541566	
0.467000	135.026000	2.992000	-4.910000	12.037000	0.071263	2095.959870	
0.500000	135.026000	2.992000	-3.828000	23.029000	0.078766	2386.862488	
0.533000	135.026000	2.992000	-1.753000	33.014000	0.072753	2204.638367	
0.567000	135.026000	2.992000	1.336000	44.991000	0.088323	2597.731935	
0.600000	135.026000	2.992000	6.418000	55.954000	0.086256	2613.819818	
0.633000	135.026000	2.992000	11.507000	67.916000	0.093287	2826.884388	
0.667000	135.026000	2.992000	18.596000	79.863000	0.099603	2929.504912	
0.700000	135.026000	2.992000	26.678000	90.803000	0.097547	2955.963502	
0.733000	135.026000	2.992000	36.760000	101.729000	0.106706	3233.529369	
0.767000	135.026000	2.992000	48.834000	111.639000	0.112352	3304.469066	
0.800000	135.026000	2.992000	61.901000	120.541000	0.114158	3459.329850	
0.833000	135.026000	2.992000	75.961000	128.437000	0.116446	3528.658154	
0.867000	135.026000	2.992000	92.012000	135.317000	0.125763	3698.901363	
0.900000	135.026000	2.992000	109.042000	139.190000	0.125773	3811.316657	
0.933000	135.026000	2.992000	126.056000	141.063000	0.123640	3746.675381	
