Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-5.126	-16.962	
0.034	-5.119	-15.962	
0.067	-5.111	-14.962	
0.100	-6.096	-12.954	
0.134	-5.081	-10.962	
0.167	-6.066	-8.954	
0.200	-6.037	-4.955	
0.234	-6.014	-1.955	
0.267	-5.984	2.045	
0.300	-5.947	7.045	
0.334	-5.910	12.044	
0.367	-4.858	19.037	
0.400	-3.820	24.029	
0.434	-1.776	30.014	
0.467	-1.716	38.014	
0.500	0.336	44.999	
0.534	4.388	51.969	
0.567	6.448	59.954	
0.600	10.507	67.923	
0.634	16.567	75.878	
0.667	21.641	85.841	
0.700	28.686	91.788	
0.734	36.760	101.729	
0.767	44.805	107.669	
0.800	52.864	115.609	
0.834	62.909	121.534	
0.867	74.953	127.444	
0.900	86.998	133.354	
0.934	99.027	137.265	
0.967	113.042	139.160	
1.000	128.056	141.048	
1.034	143.056	140.936	
1.067	158.055	140.824	
1.100	173.025	136.713	
1.134	187.995	132.601	
1.167	202.935	124.489	
1.200	216.875	116.385	
1.234	230.792	105.281	
1.267	242.695	92.191	
1.300	253.590	78.110	
1.334	262.478	63.043	
1.367	269.343	44.991	
1.400	274.209	26.954	
1.434	276.059	6.940	
1.467	275.910	-13.059	
1.500	272.761	-33.036	
1.534	266.612	-52.991	
1.567	256.478	-70.915	
1.600	244.344	-88.825	
1.634	229.225	-104.713	
1.667	211.121	-118.578	
1.700	189.032	-130.414	
1.734	166.980	-137.249	
1.767	141.951	-141.063	
1.800	115.959	-139.869	
1.834	90.005	-133.675	
1.867	66.088	-122.496	
1.900	43.208	-106.325	
1.934	23.358	-86.176	
1.967	8.545	-61.065	
2.000	-2.253	-33.984	
2.034	-6.029	-3.955	
2.067	-3.790	28.029	
2.100	6.425	56.954	
2.134	20.626	83.848	
2.167	42.805	107.684	
2.200	68.938	125.489	
2.234	99.027	137.265	
2.267	130.064	142.033	
2.300	161.048	139.802	
2.334	191.972	129.571	
2.367	218.860	114.370	
2.400	241.702	93.199	
2.434	260.508	67.058	
2.467	271.283	36.977	
2.500	277.045	4.933	
2.534	273.798	-28.043	
2.567	263.567	-58.968	
2.600	245.351	-87.833	
2.634	221.173	-111.653	
2.667	191.039	-129.429	
2.700	156.966	-139.175	
2.734	117.959	-139.884	
2.767	81.028	-130.608	
2.800	47.178	-110.355	
2.834	19.402	-80.147	
2.867	0.687	-42.006	
2.900	-5.999	0.045	
2.934	0.328	43.999	
2.967	20.619	82.848	
3.000	50.849	113.624	
3.034	87.998	133.347	
3.067	130.064	142.033	
3.100	171.033	137.728	
3.134	208.912	121.444	
3.167	239.717	95.214	
3.200	262.470	62.043	
3.234	275.186	23.947	
3.267	275.880	-17.059	
3.300	264.582	-56.976	
3.334	242.329	-90.810	
3.367	210.114	-119.571	
3.400	168.988	-136.264	
3.434	124.952	-140.936	
3.467	77.043	-128.578	
3.500	37.253	-100.280	
3.534	7.559	-59.058	
3.567	-6.052	-6.955	
3.600	0.336	44.999	
