Time(ms)	원점 X(cm)	원점 Y(cm)	좌표 X(cm)	좌표 Y(cm)	각(rad)	각속도(rad/s)	
0.000000	135.026000	2.992000	-5.126000	-16.962000	0.000000	0.000000	
0.034000	135.026000	2.992000	-5.119000	-15.962000	0.006994	205.693376	
0.067000	135.026000	2.992000	-5.111000	-14.962000	0.007007	212.322138	
0.100000	135.026000	2.992000	-6.096000	-12.954000	0.014906	451.701359	
0.134000	135.026000	2.992000	-5.081000	-10.962000	0.013249	389.683350	
0.167000	135.026000	2.992000	-6.066000	-8.954000	0.014801	448.522641	
0.200000	135.026000	2.992000	-6.037000	-4.955000	0.028190	854.232185	
0.234000	135.026000	2.992000	-6.014000	-1.955000	0.021216	624.007667	
0.267000	135.026000	2.992000	-5.984000	2.045000	0.028345	858.940845	
0.300000	135.026000	2.992000	-5.947000	7.045000	0.035458	1074.484956	
0.334000	135.026000	2.992000	-5.910000	12.044000	0.035397	1041.099009	
0.367000	135.026000	2.992000	-4.858000	19.037000	0.050063	1517.074267	
0.400000	135.026000	2.992000	-3.820000	24.029000	0.036166	1095.952181	
0.434000	135.026000	2.992000	-1.776000	30.014000	0.044646	1313.129905	
0.467000	135.026000	2.992000	-1.716000	38.014000	0.055712	1688.239844	
0.500000	135.026000	2.992000	0.336000	44.999000	0.051591	1563.372618	
0.534000	135.026000	2.992000	4.388000	51.969000	0.056369	1657.921237	
0.567000	135.026000	2.992000	6.448000	59.954000	0.058342	1767.930046	
0.600000	135.026000	2.992000	10.507000	67.923000	0.063633	1928.285477	
0.634000	135.026000	2.992000	16.567000	75.878000	0.070919	2085.849276	
0.667000	135.026000	2.992000	21.641000	85.841000	0.079444	2407.383290	
0.700000	135.026000	2.992000	28.686000	91.788000	0.064707	1960.806608	
0.734000	135.026000	2.992000	36.760000	101.729000	0.092056	2707.537446	
0.767000	135.026000	2.992000	44.805000	107.669000	0.071646	2171.082935	
0.800000	135.026000	2.992000	52.864000	115.609000	0.081064	2456.494852	
0.834000	135.026000	2.992000	62.909000	121.534000	0.083749	2463.191859	
0.867000	135.026000	2.992000	74.953000	127.444000	0.096837	2934.440985	
0.900000	135.026000	2.992000	86.998000	133.354000	0.096723	2930.985511	
0.934000	135.026000	2.992000	99.027000	137.265000	0.091047	2677.845568	
0.967000	135.026000	2.992000	113.042000	139.160000	0.101876	3087.166534	
1.000000	135.026000	2.992000	128.056000	141.048000	0.109623	3321.894028	
1.034000	135.026000	2.992000	143.056000	140.936000	0.108590	3193.833449	
1.067000	135.026000	2.992000	158.055000	140.824000	0.107405	3254.685217	
1.100000	135.026000	2.992000	173.025000	136.713000	0.111317	3373.238942	
1.134000	135.026000	2.992000	187.995000	132.601000	0.111101	3267.687238	
1.167000	135.026000	2.992000	202.935000	124.489000	0.121708	3688.133309	
1.200000	135.026000	2.992000	216.875000	116.385000	0.115541	3501.243467	
1.234000	135.026000	2.992000	230.792000	105.281000	0.127256	3742.825395	
1.267000	135.026000	2.992000	242.695000	92.191000	0.126469	3832.387314	
1.300000	135.026000	2.992000	253.590000	78.110000	0.127118	3852.062409	
1.334000	135.026000	2.992000	262.478000	63.043000	0.124420	3659.398250	
1.367000	135.026000	2.992000	269.343000	44.991000	0.137261	4159.429510	
1.400000	135.026000	2.992000	274.209000	26.954000	0.132563	4017.075488	
1.434000	135.026000	2.992000	276.059000	6.940000	0.142504	4191.305069	
1.467000	135.026000	2.992000	275.910000	-13.059000	0.141428	4285.685039	
1.500000	135.026000	2.992000	272.761000	-33.036000	0.142401	4315.184093	
