Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-6.999	0.052	
0.033	-6.977	3.052	
0.066	-6.962	5.052	
0.100	-6.932	9.052	
0.133	-5.910	12.044	
0.166	-5.872	17.044	
0.200	-4.843	21.037	
0.233	-4.805	26.037	
0.266	-2.761	32.021	
0.300	-0.716	38.006	
0.333	0.328	43.999	
0.366	3.381	50.976	
0.400	5.433	57.961	
0.433	9.492	65.931	
0.466	14.544	72.893	
0.500	18.596	79.863	
0.533	24.656	87.818	
0.566	30.716	95.773	
0.600	38.775	103.714	
0.633	46.827	110.654	
0.666	55.879	117.586	
0.700	65.924	123.511	
0.733	75.968	129.437	
0.766	88.005	134.347	
0.800	101.035	138.250	
0.833	114.064	142.153	
0.866	128.071	143.048	
0.900	143.071	142.936	
0.933	157.063	141.832	
0.966	173.032	137.713	
1.000	187.002	133.608	
1.033	200.950	126.504	
1.066	215.890	118.392	
1.100	228.815	108.295	
1.133	241.717	95.199	
1.166	252.620	82.117	
1.200	261.500	66.050	
1.233	269.381	49.991	
1.266	275.246	31.947	
1.300	278.104	12.925	
1.333	278.962	-6.081	
1.366	275.813	-26.058	
1.400	270.664	-46.021	
1.433	262.523	-64.960	
1.466	250.381	-83.870	
1.500	235.255	-100.758	
1.533	218.151	-114.631	
1.566	198.054	-127.481	
1.600	175.995	-135.317	
1.633	151.951	-141.137	
1.666	126.937	-142.951	
1.700	101.975	-137.764	
1.733	76.043	-128.571	
1.766	53.140	-115.399	
1.800	32.275	-97.243	
1.833	15.447	-74.117	
1.866	2.642	-48.021	
1.900	-5.141	-18.962	
1.933	-5.917	11.044	
1.966	-0.701	40.006	
2.000	11.515	68.916	
2.033	29.701	93.781	
2.066	52.872	116.609	
2.100	78.983	131.414	
2.133	110.049	140.183	
2.166	141.071	142.951	
2.200	172.040	138.720	
2.233	200.957	127.504	
2.266	226.815	108.310	
2.300	248.657	87.147	
2.333	265.448	59.021	
2.366	276.231	29.939	
2.400	278.992	-2.082	
2.433	273.761	-33.043	
2.466	262.523	-64.960	
2.500	243.322	-91.818	
2.533	218.151	-114.631	
2.566	187.025	-131.399	
2.600	151.951	-141.137	
2.633	115.952	-140.869	
2.666	78.028	-130.585	
2.700	46.185	-109.347	
2.733	18.417	-78.139	
2.766	0.694	-41.006	
2.800	-5.999	0.045	
2.833	0.313	41.999	
2.866	19.596	79.856	
2.900	47.834	111.646	
2.933	83.998	133.377	
2.966	126.071	143.063	
3.000	168.040	138.750	
3.033	205.935	124.467	
3.066	237.755	100.229	
3.100	261.508	67.050	
3.133	275.239	30.947	
3.166	278.940	-9.081	
