Time(ms)	원점 X(cm)	원점 Y(cm)	좌표 X(cm)	좌표 Y(cm)	각(rad)	각속도(rad/s)	
0.000000	135.019000	1.992000	-5.962000	5.045000	0.000000	0.000000	
0.033000	135.019000	1.992000	-5.940000	8.045000	0.021263	644.338882	
0.067000	135.019000	1.992000	-5.902000	13.044000	0.035352	1039.750469	
0.100000	135.019000	1.992000	-3.880000	16.029000	0.022450	680.314675	
0.133000	135.019000	1.992000	-3.843000	21.029000	0.035527	1076.561679	
0.167000	135.019000	1.992000	-3.798000	27.029000	0.042198	1241.110160	
0.200000	135.019000	1.992000	-1.761000	32.014000	0.037624	1140.106597	
0.233000	135.019000	1.992000	0.284000	37.999000	0.045076	1365.926870	
0.267000	135.019000	1.992000	2.343000	45.984000	0.059026	1736.071536	
0.300000	135.019000	1.992000	4.388000	51.969000	0.045234	1370.724187	
0.333000	135.019000	1.992000	6.440000	58.954000	0.051626	1564.438002	
0.367000	135.019000	1.992000	10.492000	65.924000	0.057282	1684.757487	
0.400000	135.019000	1.992000	14.552000	73.893000	0.063793	1933.113330	
0.433000	135.019000	1.992000	20.611000	81.848000	0.071276	2159.880287	
0.467000	135.019000	1.992000	25.671000	89.811000	0.067260	1978.221457	
0.500000	135.019000	1.992000	32.716000	95.759000	0.065253	1977.358250	
0.533000	135.019000	1.992000	38.775000	103.714000	0.071172	2156.738100	
0.567000	135.019000	1.992000	46.827000	110.654000	0.075949	2233.792623	
0.600000	135.019000	1.992000	56.879000	117.579000	0.087330	2646.351122	
0.633000	135.019000	1.992000	66.924000	123.504000	0.083665	2535.288661	
0.667000	135.019000	1.992000	77.968000	129.422000	0.089847	2642.567449	
0.700000	135.019000	1.992000	87.998000	133.347000	0.077187	2339.004070	
0.733000	135.019000	1.992000	102.027000	137.242000	0.104495	3166.528462	
0.767000	135.019000	1.992000	115.056000	141.145000	0.096772	2846.243886	
0.800000	135.019000	1.992000	128.056000	141.048000	0.092457	2801.727858	
0.833000	135.019000	1.992000	143.071000	142.936000	0.107099	3245.412331	
0.867000	135.019000	1.992000	157.055000	140.832000	0.100335	2951.032644	
0.900000	135.019000	1.992000	172.033000	137.720000	0.108831	3297.914968	
0.933000	135.019000	1.992000	186.995000	132.608000	0.112487	3408.700323	
0.967000	135.019000	1.992000	200.950000	126.504000	0.108260	3184.105412	
1.000000	135.019000	1.992000	214.890000	118.400000	0.114376	3465.948340	
1.033000	135.019000	1.992000	227.815000	108.303000	0.116268	3523.264002	
1.067000	135.019000	1.992000	240.725000	96.206000	0.125194	3682.174112	
1.100000	135.019000	1.992000	250.620000	82.132000	0.121799	3690.887073	
1.133000	135.019000	1.992000	260.508000	67.058000	0.127842	3873.986076	
1.167000	135.019000	1.992000	268.388000	50.999000	0.126199	3711.727069	
1.200000	135.019000	1.992000	273.254000	32.962000	0.131739	3992.105402	
1.233000	135.019000	1.992000	276.112000	13.940000	0.135919	4118.762492	
1.267000	135.019000	1.992000	276.962000	-6.066000	0.141189	4152.605399	
1.300000	135.019000	1.992000	275.813000	-26.058000	0.139944	4240.727609	
1.333000	135.019000	1.992000	269.672000	-45.013000	0.139205	4218.326181	
1.367000	135.019000	1.992000	261.530000	-63.953000	0.144653	4254.489685	
1.400000	135.019000	1.992000	250.396000	-81.870000	0.148011	4485.188201	
1.433000	135.019000	1.992000	236.277000	-97.765000	0.149410	4527.580695	
1.467000	135.019000	1.992000	219.158000	-113.638000	0.163817	4818.159829	
1.500000	135.019000	1.992000	200.069000	-125.496000	0.157238	4764.800916	
1.533000	135.019000	1.992000	178.003000	-134.332000	0.166369	5041.472309	
1.567000	135.019000	1.992000	154.966000	-139.160000	0.165055	4854.544673	
1.600000	135.019000	1.992000	129.952000	-140.973000	0.175814	5327.683986	
1.633000	135.019000	1.992000	103.982000	-136.779000	0.184608	5594.171279	
1.667000	135.019000	1.992000	80.035000	-129.600000	0.175753	5169.200177	
1.700000	135.019000	1.992000	56.140000	-115.422000	0.195762	5932.175069	
1.733000	135.019000	1.992000	34.268000	-98.258000	0.196341	5949.728353	
1.767000	135.019000	1.992000	17.432000	-76.132000	0.196479	5778.783807	
1.800000	135.019000	1.992000	3.627000	-50.028000	0.209448	6346.895173	
1.833000	135.019000	1.992000	-4.164000	-21.969000	0.206496	6257.452107	
1.867000	135.019000	1.992000	-4.940000	8.037000	0.213648	6283.762552	
1.900000	135.019000	1.992000	0.284000	37.999000	0.217976	6605.336119	
1.933000	135.019000	1.992000	10.507000	67.923000	0.225840	6843.622921	
1.967000	135.019000	1.992000	27.693000	92.796000	0.215221	6330.027030	
2.000000	135.019000	1.992000	51.857000	114.616000	0.232557	7047.186919	
2.033000	135.019000	1.992000	78.975000	130.414000	0.224547	6804.461429	
2.067000	135.019000	1.992000	108.042000	139.198000	0.217351	6392.665509	
2.100000	135.019000	1.992000	140.063000	141.959000	0.230162	6974.600660	
2.133000	135.019000	1.992000	170.033000	137.735000	0.216419	6558.156520	
2.167000	135.019000	1.992000	199.950000	126.511000	0.228223	6712.439032	
2.200000	135.019000	1.992000	225.830000	110.318000	0.217006	6575.934177	
2.233000	135.019000	1.992000	247.657000	87.154000	0.225754	6841.015955	
2.267000	135.019000	1.992000	264.463000	61.028000	0.219480	6455.297197	
2.300000	135.019000	1.992000	274.239000	30.954000	0.222788	6751.157726	
2.333000	135.019000	1.992000	277.007000	-0.067000	0.219605	6654.706113	
2.367000	135.019000	1.992000	273.768000	-32.043000	0.226049	6648.505132	
2.400000	135.019000	1.992000	261.537000	-62.953000	0.233702	7081.885912	
2.433000	135.019000	1.992000	243.337000	-89.818000	0.228846	6934.717008	
2.467000	135.019000	1.992000	219.158000	-113.638000	0.238651	7019.157411	
2.500000	135.019000	1.992000	188.032000	-130.406000	0.248191	7520.941353	
2.533000	135.019000	1.992000	153.958000	-140.152000	0.248399	7527.231657	
2.567000	135.019000	1.992000	116.959000	-139.876000	0.259078	7619.951852	
2.600000	135.019000	1.992000	80.043000	-128.600000	0.271836	8237.464805	
2.633000	135.019000	1.992000	47.185000	-109.355000	0.269437	8164.753062	
2.667000	135.019000	1.992000	19.402000	-80.147000	0.285204	8388.354666	
2.700000	135.019000	1.992000	1.679000	-43.013000	0.292184	8854.070636	
2.733000	135.019000	1.992000	-5.007000	-0.962000	0.304421	9224.891415	
2.767000	135.019000	1.992000	0.306000	40.999000	0.302941	8910.031236	
2.800000	135.019000	1.992000	18.596000	79.863000	0.307673	9323.432502	
2.833000	135.019000	1.992000	47.834000	111.646000	0.309534	9379.816998	
2.867000	135.019000	1.992000	84.990000	132.369000	0.305342	8980.660403	
2.900000	135.019000	1.992000	125.064000	142.071000	0.295451	8953.053664	
2.933000	135.019000	1.992000	166.040000	138.765000	0.293981	8908.513659	
2.967000	135.019000	1.992000	204.935000	124.474000	0.295659	8695.856262	
3.000000	135.019000	1.992000	236.762000	101.236000	0.279139	8458.753307	
3.033000	135.019000	1.992000	260.515000	68.058000	0.288391	8739.111696	
3.067000	135.019000	1.992000	273.239000	30.962000	0.277972	8175.639419	
3.100000	135.019000	1.992000	276.940000	-9.066000	0.284362	8617.036971	
3.133000	135.019000	1.992000	268.642000	-49.006000	0.286834	8691.928768	
3.167000	135.019000	1.992000	248.374000	-84.855000	0.289164	8504.837657	
3.200000	135.019000	1.992000	219.158000	-113.638000	0.287991	8727.000607	
3.233000	135.019000	1.992000	180.010000	-133.347000	0.308109	9336.625934	
3.267000	135.019000	1.992000	135.951000	-141.018000	0.314422	9247.708956	
3.300000	135.019000	1.992000	90.012000	-132.675000	0.329056	9971.390710	
3.333000	135.019000	1.992000	47.185000	-109.355000	0.345355	10465.291156	
3.367000	135.019000	1.992000	14.462000	-72.109000	0.351777	10346.380348	
3.400000	135.019000	1.992000	-3.171000	-22.976000	0.372375	11284.105882	
3.433000	135.019000	1.992000	-2.783000	29.022000	0.372442	11286.127481	
3.467000	135.019000	1.992000	17.582000	77.871000	0.379955	11175.133982	
3.500000	135.019000	1.992000	52.864000	115.609000	0.371097	11245.352064	
3.533000	135.019000	1.992000	99.027000	137.265000	0.366009	11091.170500	
3.567000	135.019000	1.992000	149.063000	141.892000	0.360095	10591.042938	
3.600000	135.019000	1.992000	195.965000	128.541000	0.348769	10568.750226	
3.633000	135.019000	1.992000	233.770000	102.258000	0.328966	9968.676721	
3.667000	135.019000	1.992000	261.493000	65.050000	0.330496	9720.462111	
3.700000	135.019000	1.992000	275.164000	20.947000	0.328078	9941.750012	
3.733000	135.019000	1.992000	274.813000	-26.051000	0.332412	10073.079115	
3.767000	135.019000	1.992000	258.493000	-68.930000	0.323400	9511.755304	
3.800000	135.019000	1.992000	227.210000	-106.698000	0.345973	10484.033401	
3.833000	135.019000	1.992000	185.025000	-131.384000	0.344744	10446.786861	
3.867000	135.019000	1.992000	133.951000	-141.003000	0.366174	10769.811471	
3.900000	135.019000	1.992000	80.035000	-129.600000	0.388319	11767.248984	
3.933000	135.019000	1.992000	35.268000	-98.265000	0.387080	11729.709084	
3.967000	135.019000	1.992000	3.627000	-50.028000	0.410949	12086.723627	
4.000000	135.019000	1.992000	-4.955000	6.037000	0.405870	12299.079912	
4.033000	135.019000	1.992000	7.455000	60.946000	0.404024	12243.137638	
4.067000	135.019000	1.992000	38.783000	104.714000	0.385073	11325.668876	
4.100000	135.019000	1.992000	83.990000	132.377000	0.379764	11507.991643	
4.133000	135.019000	1.992000	133.063000	142.011000	0.359078	10881.136697	
