Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-4.104	-13.969	
0.034	-4.104	-13.969	
0.067	-4.089	-11.969	
0.100	-6.066	-8.954	
0.134	-6.044	-5.955	
0.167	-6.029	-3.955	
0.200	-5.999	0.045	
0.234	-5.977	3.045	
0.267	-5.940	8.045	
0.300	-4.910	12.037	
0.334	-3.873	17.029	
0.367	-3.835	22.029	
0.400	-2.790	28.022	
0.434	-1.753	33.014	
0.467	0.291	38.999	
0.500	2.336	44.984	
0.534	4.388	51.969	
0.567	6.433	57.954	
0.600	10.492	65.924	
0.634	14.537	71.894	
0.667	18.596	79.863	
0.700	23.649	86.826	
0.734	29.701	93.781	
0.767	35.745	99.736	
0.800	42.797	106.684	
0.834	49.849	113.631	
0.867	58.886	118.564	
0.900	67.931	124.497	
0.934	77.968	129.422	
0.967	87.998	133.347	
1.000	100.027	137.257	
1.034	111.042	139.175	
1.067	123.056	141.086	
1.100	136.063	141.989	
1.134	149.056	140.892	
1.167	161.048	139.802	
1.200	174.025	136.705	
1.234	186.995	132.608	
1.267	199.950	126.511	
1.300	211.905	120.422	
1.334	223.830	110.333	
1.367	235.762	101.243	
1.400	245.680	90.169	
1.434	254.590	78.102	
1.467	262.485	64.043	
1.500	268.373	48.999	
1.534	273.254	32.962	
1.567	276.134	16.940	
1.600	277.007	-0.067	
1.634	275.880	-17.059	
1.667	272.754	-34.036	
1.700	267.627	-50.998	
1.734	259.500	-67.938	
1.767	249.381	-83.863	
1.800	237.277	-97.773	
1.834	222.180	-110.661	
1.867	206.099	-121.541	
1.900	188.025	-131.406	
1.934	167.980	-137.257	
1.967	146.959	-140.100	
2.000	123.952	-140.928	
2.034	101.982	-136.764	
2.067	81.035	-129.608	
2.100	60.110	-119.451	
2.134	41.223	-104.310	
2.167	24.350	-87.184	
2.200	11.507	-66.087	
2.234	1.687	-42.013	
2.267	-4.126	-16.969	
2.300	-5.932	9.045	
2.334	-1.738	35.014	
2.367	7.448	59.946	
2.400	21.626	83.841	
2.434	38.775	103.714	
2.467	60.901	120.549	
2.500	84.990	132.369	
2.534	111.042	139.175	
2.567	139.063	141.966	
2.600	167.040	138.757	
2.634	191.980	130.571	
2.667	215.882	117.392	
2.700	237.747	99.229	
2.734	253.590	78.110	
2.767	266.403	53.013	
2.800	274.209	26.954	
2.834	277.000	-1.067	
2.867	273.791	-29.043	
2.900	264.582	-56.976	
2.934	250.396	-81.870	
2.967	230.232	-103.720	
3.000	207.099	-121.548	
3.034	179.010	-133.339	
3.067	146.959	-140.100	
3.100	114.967	-138.861	
3.134	83.028	-130.623	
3.167	53.148	-114.399	
3.200	28.328	-90.213	
3.234	8.545	-61.065	
3.267	-2.201	-26.984	
3.300	-4.925	10.037	
3.334	2.351	46.984	
3.367	18.589	78.863	
3.400	42.805	107.684	
3.434	73.953	127.452	
3.467	108.042	139.198	
3.500	144.063	141.929	
3.534	179.010	134.668	
3.567	211.905	120.422	
3.600	237.732	97.229	
3.634	258.523	69.073	
3.667	272.283	36.969	
3.700	277.022	1.933	
3.734	272.761	-33.036	
3.767	260.508	-66.945	
3.800	239.292	-95.788	
3.834	211.121	-118.578	
3.867	175.995	-135.317	
3.900	136.959	-140.025	
3.934	97.990	-135.735	
3.967	59.118	-118.444	
4.000	27.328	-90.206	
4.034	4.604	-53.035	
4.067	-5.067	-8.962	
4.100	-0.731	36.006	
4.134	17.574	76.871	
4.167	46.827	110.654	
4.200	85.990	132.362	
4.234	128.064	142.048	
4.267	170.033	137.735	
4.300	208.912	121.444	
4.334	240.717	95.206	
