Time(ms)	원점 X(cm)	원점 Y(cm)	좌표 X(cm)	좌표 Y(cm)	각(rad)	각속도(rad/s)	
0.000000	136.026000	2.985000	-4.104000	-13.969000	0.000000	0.000000	
0.034000	136.026000	2.985000	-4.104000	-13.969000	0.000000	0.000000	
0.067000	136.026000	2.985000	-4.089000	-11.969000	0.014078	426.615367	
0.100000	136.026000	2.985000	-6.066000	-8.954000	0.022498	681.757838	
0.134000	136.026000	2.985000	-6.044000	-5.955000	0.020982	617.125460	
0.167000	136.026000	2.985000	-6.029000	-3.955000	0.014028	425.101805	
0.200000	136.026000	2.985000	-5.999000	0.045000	0.028118	852.056974	
0.234000	136.026000	2.985000	-5.977000	3.045000	0.021120	621.180914	
0.267000	136.026000	2.985000	-5.940000	8.045000	0.035205	1066.809972	
0.300000	136.026000	2.985000	-4.910000	12.037000	0.028512	864.011507	
0.334000	136.026000	2.985000	-3.873000	17.029000	0.035912	1056.231809	
0.367000	136.026000	2.985000	-3.835000	22.029000	0.035280	1069.089915	
0.400000	136.026000	2.985000	-2.790000	28.022000	0.043111	1306.398633	
0.434000	136.026000	2.985000	-1.753000	33.014000	0.036152	1063.292077	
0.467000	136.026000	2.985000	0.291000	38.999000	0.044756	1356.229578	
0.500000	136.026000	2.985000	2.336000	44.984000	0.045039	1364.823317	
0.534000	136.026000	2.985000	4.388000	51.969000	0.051846	1524.896447	
0.567000	136.026000	2.985000	6.433000	57.954000	0.044929	1361.472706	
0.600000	136.026000	2.985000	10.492000	65.924000	0.063579	1926.628250	
0.634000	136.026000	2.985000	14.537000	71.894000	0.051212	1506.241922	
0.667000	136.026000	2.985000	18.596000	79.863000	0.063696	1930.194767	
0.700000	136.026000	2.985000	23.649000	86.826000	0.061329	1858.447353	
0.734000	136.026000	2.985000	29.701000	93.781000	0.065801	1935.322511	
0.767000	136.026000	2.985000	35.745000	99.736000	0.060703	1839.475822	
0.800000	136.026000	2.985000	42.797000	106.684000	0.071031	2152.441945	
0.834000	136.026000	2.985000	49.849000	113.631000	0.070569	2075.546885	
0.867000	136.026000	2.985000	58.886000	118.564000	0.073187	2217.800010	
0.900000	136.026000	2.985000	67.931000	124.497000	0.077735	2355.599919	
0.934000	136.026000	2.985000	77.968000	129.422000	0.080325	2362.491274	
0.967000	136.026000	2.985000	87.998000	133.347000	0.077476	2347.768556	
1.000000	136.026000	2.985000	100.027000	137.257000	0.091045	2758.935954	
1.034000	136.026000	2.985000	111.042000	139.175000	0.080513	2368.015873	
1.067000	136.026000	2.985000	123.056000	141.086000	0.087790	2660.307698	
1.100000	136.026000	2.985000	136.063000	141.989000	0.093908	2845.705335	
1.134000	136.026000	2.985000	149.056000	140.892000	0.093938	2762.885918	
1.167000	136.026000	2.985000	161.048000	139.802000	0.086683	2626.765510	
1.200000	136.026000	2.985000	174.025000	136.705000	0.095982	2908.554829	
1.234000	136.026000	2.985000	186.995000	132.608000	0.097769	2875.558451	
1.267000	136.026000	2.985000	199.950000	126.511000	0.102906	3118.364660	
1.300000	136.026000	2.985000	211.905000	120.422000	0.096102	2912.167745	
1.334000	136.026000	2.985000	223.830000	110.333000	0.111937	3292.263778	
1.367000	136.026000	2.985000	235.762000	101.243000	0.107280	3250.893954	
1.400000	136.026000	2.985000	245.680000	90.169000	0.106198	3218.122186	
1.434000	136.026000	2.985000	254.590000	78.102000	0.107007	3147.255834	
1.467000	136.026000	2.985000	262.485000	64.043000	0.114912	3482.196219	
1.500000	136.026000	2.985000	268.373000	48.999000	0.115212	3491.286136	
1.534000	136.026000	2.985000	273.254000	32.962000	0.119536	3515.752213	
1.567000	136.026000	2.985000	276.134000	16.940000	0.115794	3508.905756	
1.600000	136.026000	2.985000	277.007000	-0.067000	0.120919	3664.219464	
1.634000	136.026000	2.985000	275.880000	-17.059000	0.120707	3550.193314	
1.667000	136.026000	2.985000	272.754000	-34.036000	0.122072	3699.156048	
1.700000	136.026000	2.985000	267.627000	-50.998000	0.124847	3783.228591	
1.734000	136.026000	2.985000	259.500000	-67.938000	0.132110	3885.594692	
1.767000	136.026000	2.985000	249.381000	-83.863000	0.132383	4011.598761	
1.800000	136.026000	2.985000	237.277000	-97.773000	0.129195	3914.985217	
1.834000	136.026000	2.985000	222.180000	-110.661000	0.139179	4093.512598	
1.867000	136.026000	2.985000	206.099000	-121.541000	0.136104	4124.372740	
1.900000	136.026000	2.985000	188.025000	-131.406000	0.143372	4344.611923	
1.934000	136.026000	2.985000	167.980000	-137.257000	0.145158	4269.359311	
1.967000	136.026000	2.985000	146.959000	-140.100000	0.147764	4477.683640	
2.000000	136.026000	2.985000	123.952000	-140.928000	0.159963	4847.358612	
2.034000	136.026000	2.985000	101.982000	-136.764000	0.155252	4566.234062	
2.067000	136.026000	2.985000	81.035000	-129.608000	0.154190	4672.439345	
2.100000	136.026000	2.985000	60.110000	-119.451000	0.161885	4905.602764	
2.134000	136.026000	2.985000	41.223000	-104.310000	0.168636	4959.878554	
2.167000	136.026000	2.985000	24.350000	-87.184000	0.167885	5087.412034	
2.200000	136.026000	2.985000	11.507000	-66.087000	0.172794	5236.184219	
2.234000	136.026000	2.985000	1.687000	-42.013000	0.183240	5389.411315	
2.267000	136.026000	2.985000	-4.126000	-16.969000	0.181789	5508.758221	
2.300000	136.026000	2.985000	-5.932000	9.045000	0.184086	5578.373233	
2.334000	136.026000	2.985000	-1.738000	35.014000	0.185771	5463.850597	
2.367000	136.026000	2.985000	7.448000	59.946000	0.188590	5714.846900	
2.400000	136.026000	2.985000	21.626000	83.841000	0.198240	6007.282368	
2.434000	136.026000	2.985000	38.775000	103.714000	0.187700	5520.582983	
2.467000	136.026000	2.985000	60.901000	120.549000	0.199219	6036.951622	
2.500000	136.026000	2.985000	84.990000	132.369000	0.192897	5845.368493	
2.534000	136.026000	2.985000	111.042000	139.175000	0.194284	5714.227197	
2.567000	136.026000	2.985000	139.063000	141.966000	0.203281	6160.020648	
2.600000	136.026000	2.985000	167.040000	138.757000	0.202726	6143.198223	
2.634000	136.026000	2.985000	191.980000	130.571000	0.188725	5550.737191	
2.667000	136.026000	2.985000	215.882000	117.392000	0.196083	5941.905423	
2.700000	136.026000	2.985000	237.747000	99.229000	0.203676	6171.990875	
2.734000	136.026000	2.985000	253.590000	78.110000	0.189126	5562.516963	
2.767000	136.026000	2.985000	266.403000	53.013000	0.202221	6127.917890	
2.800000	136.026000	2.985000	274.209000	26.954000	0.194642	5898.253802	
2.834000	136.026000	2.985000	277.000000	-1.067000	0.200484	5896.601388	
2.867000	136.026000	2.985000	273.791000	-29.043000	0.199690	6051.219254	
2.900000	136.026000	2.985000	264.582000	-56.976000	0.207999	6302.993978	
2.934000	136.026000	2.985000	250.396000	-81.870000	0.201895	5938.084837	
2.967000	136.026000	2.985000	230.232000	-103.720000	0.209211	6339.721755	
3.000000	136.026000	2.985000	207.099000	-121.548000	0.204658	6201.747960	
3.034000	136.026000	2.985000	179.010000	-133.339000	0.213168	6269.654392	
3.067000	136.026000	2.985000	146.959000	-140.100000	0.229180	6944.840407	
3.100000	136.026000	2.985000	114.967000	-138.861000	0.223648	6777.217738	
3.134000	136.026000	2.985000	83.028000	-130.623000	0.230243	6771.862042	
3.167000	136.026000	2.985000	53.148000	-114.399000	0.237139	7186.022859	
3.200000	136.026000	2.985000	28.328000	-90.213000	0.242681	7353.956490	
3.234000	136.026000	2.985000	8.545000	-61.065000	0.247758	7287.014295	
3.267000	136.026000	2.985000	-2.201000	-26.984000	0.252082	7638.860590	
3.300000	136.026000	2.985000	-4.925000	10.037000	0.263495	7984.710944	
3.334000	136.026000	2.985000	2.351000	46.984000	0.267990	7882.061791	
3.367000	136.026000	2.985000	18.589000	78.863000	0.255660	7747.285820	
3.400000	136.026000	2.985000	42.805000	107.684000	0.269686	8172.302649	
3.434000	136.026000	2.985000	73.953000	127.452000	0.264854	7789.836469	
3.467000	136.026000	2.985000	108.042000	139.198000	0.259992	7878.540501	
3.500000	136.026000	2.985000	144.063000	141.929000	0.260403	7890.991107	
3.534000	136.026000	2.985000	179.010000	134.668000	0.257737	7580.496479	
3.567000	136.026000	2.985000	211.905000	120.422000	0.258130	7822.135860	
3.600000	136.026000	2.985000	237.732000	97.229000	0.249814	7570.135939	
3.634000	136.026000	2.985000	258.523000	69.073000	0.252584	7428.936911	
3.667000	136.026000	2.985000	272.283000	36.969000	0.250327	7585.675359	
3.700000	136.026000	2.985000	277.022000	1.933000	0.251885	7632.888989	
3.734000	136.026000	2.985000	272.761000	-33.036000	0.250123	7356.566512	
3.767000	136.026000	2.985000	260.508000	-66.945000	0.254249	7704.511333	
3.800000	136.026000	2.985000	239.292000	-95.788000	0.251330	7616.071090	
3.834000	136.026000	2.985000	211.121000	-118.578000	0.254267	7478.446389	
3.867000	136.026000	2.985000	175.995000	-135.317000	0.272033	8243.415331	
3.900000	136.026000	2.985000	136.959000	-140.025000	0.274809	8327.544527	
3.934000	136.026000	2.985000	97.990000	-135.735000	0.274139	8062.922541	
3.967000	136.026000	2.985000	59.118000	-118.444000	0.296971	8999.133057	
4.000000	136.026000	2.985000	27.328000	-90.206000	0.297470	9014.252972	
4.034000	136.026000	2.985000	4.604000	-53.035000	0.305801	8994.158188	
4.067000	136.026000	2.985000	-5.067000	-8.962000	0.318465	9650.443124	
4.100000	136.026000	2.985000	-0.731000	36.006000	0.321396	9739.265702	
4.134000	136.026000	2.985000	17.574000	76.871000	0.320787	9434.906585	
4.167000	136.026000	2.985000	46.827000	110.654000	0.321234	9734.366805	
4.200000	136.026000	2.985000	85.990000	132.362000	0.322824	9782.559638	
4.234000	136.026000	2.985000	128.064000	142.048000	0.311836	9171.650660	
4.267000	136.026000	2.985000	170.033000	137.735000	0.304401	9224.278335	
4.300000	136.026000	2.985000	208.912000	121.444000	0.304373	9223.437784	
4.334000	136.026000	2.985000	240.717000	95.206000	0.297059	8737.030740	
