Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-500.000	96.000	
0.033	-500.000	96.000	
0.066	-500.000	96.000	
0.099	-500.000	96.000	
0.133	-491.000	107.000	
0.166	-480.000	118.000	
0.199	-467.000	133.000	
0.233	-450.000	149.000	
0.266	-430.000	172.000	
0.299	-414.000	186.000	
0.333	-382.000	219.000	
0.366	-356.000	248.000	
0.399	-328.000	278.000	
0.433	-294.000	315.000	
0.466	-253.000	346.000	
0.499	-210.000	348.000	
0.533	-181.000	324.000	
0.566	-169.000	297.000	
0.599	-170.000	270.000	
0.633	-174.000	259.000	
0.666	-188.000	237.000	
0.699	-203.000	230.000	
0.733	-220.000	226.000	
0.766	-237.000	233.000	
0.799	-252.000	240.000	
0.833	-268.000	251.000	
0.866	-286.000	270.000	
0.899	-294.000	298.000	
0.933	-287.000	329.000	
0.966	-265.000	349.000	
0.999	-229.000	358.000	
