Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-516.000	77.000	
0.034	-514.000	81.000	
0.067	-507.000	87.000	
0.100	-500.000	96.000	
0.134	-490.000	108.000	
0.167	-477.000	121.000	
0.200	-462.000	136.000	
0.234	-445.000	155.000	
0.267	-423.000	174.000	
0.300	-400.000	200.000	
0.334	-380.000	223.000	
0.367	-353.000	259.000	
0.400	-325.000	286.000	
0.434	-289.000	322.000	
0.467	-234.000	346.000	
0.500	-200.000	339.000	
0.534	-177.000	310.000	
0.567	-172.000	276.000	
0.600	-179.000	254.000	
0.634	-195.000	238.000	
0.667	-215.000	229.000	
0.700	-231.000	226.000	
0.734	-250.000	228.000	
0.767	-269.000	235.000	
0.800	-286.000	252.000	
0.834	-296.000	281.000	
0.867	-293.000	308.000	
0.900	-271.000	340.000	
0.934	-236.000	353.000	
0.967	-200.000	354.000	
