Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-507.000	70.000	
0.034	-500.000	80.000	
0.067	-490.000	93.000	
0.100	-479.000	109.000	
0.134	-476.000	113.000	
0.167	-446.000	148.000	
0.200	-427.000	174.000	
0.234	-399.000	206.000	
0.267	-377.000	235.000	
0.300	-347.000	269.000	
0.334	-319.000	310.000	
0.367	-278.000	338.000	
0.400	-238.000	351.000	
0.434	-206.000	326.000	
0.467	-190.000	294.000	
0.500	-190.000	267.000	
0.534	-206.000	250.000	
0.567	-217.000	234.000	
0.600	-236.000	227.000	
0.634	-256.000	227.000	
0.667	-275.000	230.000	
0.700	-295.000	238.000	
0.734	-309.000	262.000	
0.767	-316.000	292.000	
0.800	-311.000	325.000	
0.834	-282.000	346.000	
0.867	-244.000	358.000	
0.900	-207.000	361.000	
0.934	-166.000	366.000	
