Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-494.000	94.000	
0.033	-489.000	100.000	
0.067	-481.000	109.000	
0.100	-474.000	121.000	
0.133	-461.000	133.000	
0.167	-446.000	148.000	
0.200	-428.000	166.000	
0.233	-408.000	183.000	
0.267	-384.000	205.000	
0.300	-358.000	232.000	
0.333	-332.000	258.000	
0.367	-309.000	286.000	
0.400	-264.000	324.000	
0.433	-228.000	346.000	
0.467	-185.000	341.000	
0.500	-161.000	318.000	
0.533	-150.000	288.000	
0.567	-153.000	267.000	
0.600	-161.000	258.000	
0.633	-173.000	235.000	
0.667	-183.000	232.000	
0.700	-203.000	227.000	
0.733	-219.000	233.000	
0.767	-236.000	241.000	
0.800	-249.000	255.000	
0.833	-265.000	276.000	
0.867	-275.000	302.000	
0.900	-263.000	329.000	
0.933	-242.000	349.000	
0.967	-206.000	356.000	
1.000	-166.000	360.000	
