Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-497.000	89.000	
0.033	-493.000	95.000	
0.066	-485.000	103.000	
0.100	-474.000	115.000	
0.133	-461.000	126.000	
0.166	-447.000	141.000	
0.200	-431.000	157.000	
0.233	-412.000	178.000	
0.266	-402.000	188.000	
0.300	-363.000	225.000	
0.333	-336.000	252.000	
0.366	-308.000	282.000	
0.400	-268.000	322.000	
0.433	-236.000	341.000	
0.466	-190.000	341.000	
0.500	-164.000	315.000	
0.533	-153.000	286.000	
0.566	-158.000	261.000	
0.600	-168.000	243.000	
0.633	-184.000	231.000	
0.666	-203.000	227.000	
0.700	-220.000	226.000	
0.733	-239.000	230.000	
0.766	-256.000	240.000	
0.800	-271.000	259.000	
0.833	-278.000	289.000	
0.866	-268.000	322.000	
0.900	-242.000	345.000	
0.933	-204.000	352.000	
0.966	-169.000	352.000	
1.000	-133.000	353.000	
