Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-499.000	82.000	
0.034	-495.000	89.000	
0.067	-487.000	98.000	
0.100	-476.000	110.000	
0.134	-464.000	124.000	
0.167	-449.000	143.000	
0.200	-431.000	160.000	
0.234	-414.000	180.000	
0.267	-387.000	206.000	
0.300	-362.000	234.000	
0.334	-334.000	261.000	
0.367	-313.000	289.000	
0.400	-266.000	333.000	
0.434	-225.000	349.000	
0.467	-188.000	334.000	
0.500	-169.000	307.000	
0.534	-162.000	280.000	
0.567	-169.000	254.000	
0.600	-179.000	240.000	
0.634	-192.000	233.000	
0.667	-209.000	225.000	
0.700	-225.000	229.000	
0.734	-241.000	234.000	
0.767	-258.000	246.000	
0.800	-274.000	258.000	
0.834	-287.000	283.000	
0.867	-284.000	313.000	
0.900	-265.000	341.000	
0.934	-233.000	353.000	
0.967	-200.000	356.000	
1.000	-165.000	356.000	
