Time(s)	xÁÂÇ¥	yÁÂÇ¥	
0.000	-496.000	84.000	
0.034	-490.000	92.000	
0.067	-480.000	101.000	
0.100	-469.000	115.000	
0.134	-455.000	129.000	
0.167	-439.000	148.000	
0.200	-421.000	171.000	
0.234	-401.000	187.000	
0.267	-373.000	218.000	
0.300	-346.000	245.000	
0.334	-320.000	276.000	
0.367	-280.000	314.000	
0.400	-245.000	340.000	
0.434	-203.000	340.000	
0.467	-174.000	316.000	
0.500	-164.000	287.000	
0.534	-170.000	261.000	
0.567	-180.000	242.000	
0.600	-197.000	232.000	
0.634	-218.000	227.000	
0.667	-236.000	227.000	
0.700	-255.000	234.000	
0.734	-271.000	247.000	
0.767	-285.000	270.000	
0.800	-286.000	305.000	
0.834	-273.000	336.000	
0.867	-236.000	351.000	
0.900	-205.000	355.000	
0.934	-162.000	355.000	
